0: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
1: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
2: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
3: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
4: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
5: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
6: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
7: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
8: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
9: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
10: [[5, 1, 12, 2, 11, 19], [7, 8, 10, 37, 14, 29], [23, 6, 36, 3, 13, 15, 20], [17, 4, 16, 22, 9, 18], [21, 26, 25, 24, 27, 28], [30, 31, 33, 35, 34, 32]]
