0: [[83, 2, 12, 22], [3, 28, 18, 1, 13, 23], [4, 5], [35, 34, 11], [7, 14, 15, 46, 41], [45, 44, 8, 74, 81, 39, 10], [6, 57], [16, 59, 27, 17, 48, 51, 19], [20, 25, 21], [24, 26, 40, 29], [30, 31, 32, 78, 33], [36], [50, 37, 9, 38, 42], [47, 49, 60, 52, 61, 54], [55, 53, 62, 43], [56, 68, 66, 70], [63, 64, 72, 67], [71, 69], [65, 76, 73], [75, 79, 77], [80, 82, 84, 86], [87, 85, 88, 58]]
1: [[83, 2, 12, 22], [3, 28, 18, 1, 13, 23], [4, 5], [35, 34, 11], [7, 14, 15, 46, 41], [45, 44, 8, 74, 81, 39, 10], [6, 57], [16, 59, 27, 17, 48, 51, 19], [20, 25, 21], [24, 26, 40, 29], [30, 31, 32, 78, 33], [36], [50, 37, 9, 38, 42], [47, 49, 60, 52, 61, 54], [55, 53, 62, 43], [56, 68, 66, 70], [63, 64, 72, 67], [71, 69], [65, 76, 73], [75, 79, 77], [80, 82, 84, 86], [87, 85, 88, 58]]
2: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 35, 42, 45, 40, 43, 47, 46, 38, 54, 51, 49, 55, 50, 52, 56, 53, 57, 58, 59, 62, 60, 63, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
3: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 43, 40, 46, 45, 35, 62, 49, 55, 54, 47, 53, 50, 58, 52, 51, 57, 59, 56, 60, 63, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
4: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 43, 40, 35, 45, 47, 54, 46, 50, 49, 51, 53, 52, 60, 56, 58, 62, 55, 57, 59, 63, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
5: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 43, 40, 35, 55, 45, 57, 46, 54, 47, 49, 51, 52, 50, 53, 56, 58, 59, 60, 62, 63, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
6: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 35, 40, 43, 46, 47, 45, 54, 50, 57, 51, 63, 55, 49, 52, 56, 53, 58, 59, 62, 60, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
7: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 35, 40, 43, 54, 47, 45, 46, 51, 49, 50, 59, 60, 55, 52, 57, 53, 58, 56, 63, 62, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
8: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 35, 40, 43, 53, 47, 60, 46, 57, 45, 50, 54, 49, 52, 55, 58, 51, 56, 62, 59, 63, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
9: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 35, 40, 43, 47, 45, 60, 50, 57, 54, 46, 49, 51, 52, 53, 56, 55, 58, 59, 63, 62, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
10: [[83, 2, 36, 22, 3, 20, 1, 4, 12, 13], [34, 39, 33, 15, 6, 21, 5, 11, 10, 30, 8, 41, 44, 9, 14, 17], [7, 27, 18, 16, 25, 23, 19, 26, 24, 28, 31, 61, 29, 48, 37, 32, 38, 42, 35, 40, 43, 47, 45, 46, 56, 54, 52, 50, 51, 49, 53, 55, 57, 58, 59, 60, 62, 63, 64, 68], [66, 70, 65, 73, 75, 67, 71, 69, 76, 72, 74, 78, 77, 79, 84, 80, 82, 86, 81, 85, 87, 88]]
