0: [[7, 13, 12, 9], [5, 3, 1, 2], [4, 10], [8, 11, 6]]
1: [[9, 6], [7, 13, 12], [5, 3, 1, 2, 4, 10], [8, 11]]
2: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
3: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
4: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
5: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
6: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
7: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
8: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
9: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
10: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
11: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
12: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
13: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
14: [[9, 6], [7, 13], [12, 5, 3, 1, 2, 4, 10], [8, 11]]
15: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
16: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
17: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
18: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
19: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
20: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
21: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
22: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
23: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
24: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
25: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
26: [[7, 13, 12, 5, 3, 9], [1, 2], [4, 10], [8, 11, 6]]
27: [[9, 6, 13], [12, 5], [3, 1, 4, 10, 2], [8, 11, 7]]
