0: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
1: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
2: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
3: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
4: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
5: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
6: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
7: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
8: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
9: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
10: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
11: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
12: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
13: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
14: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
15: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
16: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
17: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
18: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
19: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
20: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
21: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
22: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
23: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
24: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
25: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
26: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
27: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
28: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
29: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
30: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
31: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
32: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
33: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
34: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
35: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
36: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
37: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
38: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
39: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
40: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
41: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
42: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
43: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
44: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
45: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
46: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
47: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
48: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
49: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
50: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
51: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
52: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
53: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
54: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
55: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
56: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
57: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
58: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
59: [[1, 9, 6, 19, 17, 7, 2], [3, 15, 4, 5, 13, 16, 8, 11, 14, 12], [22, 23, 24, 18, 28, 10], [21, 26, 27, 25, 20, 29]]
