0: [[35, 28, 7, 1, 27, 14, 3, 2], [4, 5], [23, 8, 44, 22, 18], [9, 13, 11, 6, 21], [19, 12, 15, 16, 10], [17, 20, 25, 46, 24, 26, 31], [40, 38], [36, 56, 29, 37, 60, 30, 32, 39], [34, 41, 42], [45, 47, 52, 54, 43, 33], [53, 50, 55, 51], [57, 48, 58, 49, 59]]
1: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 13, 12, 17, 21, 28, 18, 26, 22, 16, 23, 27, 25, 24, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
2: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 13, 9, 12, 10, 21, 16, 24, 23, 22, 17, 18, 28, 26, 25, 31, 27], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
3: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 12, 13, 17, 24, 21, 23, 16, 28, 18, 25, 27, 22, 31, 26], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
4: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 13, 9, 10, 31, 18, 26, 12, 25, 16, 21, 23, 24, 17, 22, 27, 28], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
5: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 12, 13, 17, 16, 26, 18, 23, 21, 28, 22, 27, 25, 24, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
6: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 12, 13, 17, 16, 22, 18, 21, 23, 31, 24, 25, 28, 26, 27], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
7: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 11, 10, 12, 13, 21, 16, 26, 18, 23, 17, 25, 22, 27, 24, 28, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
8: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 11, 9, 12, 13, 17, 18, 16, 22, 31, 23, 26, 24, 25, 28, 27, 10, 21, 6], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
9: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 13, 10, 12, 24, 16, 17, 18, 22, 23, 31, 21, 25, 27, 26, 28], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
10: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 12, 13, 16, 18, 17, 22, 21, 31, 23, 27, 24, 25, 28, 26], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
11: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 13, 24, 12, 10, 16, 21, 17, 23, 25, 22, 18, 26, 27, 28, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
12: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 13, 12, 10, 18, 16, 25, 17, 23, 21, 22, 24, 26, 27, 28, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
13: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 12, 10, 16, 24, 26, 17, 18, 23, 13, 21, 27, 22, 25, 28, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
14: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 9, 11, 12, 13, 17, 28, 18, 22, 23, 25, 16, 26, 31, 27, 24, 10, 21, 6], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
15: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 12, 28, 10, 16, 24, 13, 17, 22, 23, 27, 18, 21, 25, 26, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
16: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 12, 13, 28, 17, 16, 18, 23, 22, 21, 25, 26, 24, 31, 27], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
17: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 12, 13, 24, 16, 21, 18, 17, 22, 31, 28, 25, 23, 26, 27], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
18: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 10, 9, 12, 13, 17, 16, 21, 18, 24, 28, 23, 22, 27, 26, 25, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
19: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 10, 9, 12, 6, 11, 13, 16, 18, 17, 23, 22, 21, 24, 26, 25, 28, 27, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
20: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 11, 10, 12, 13, 17, 28, 21, 18, 22, 23, 25, 16, 26, 31, 27, 24], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
21: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 11, 9, 13, 12, 25, 16, 17, 23, 18, 22, 27, 24, 26, 28, 31, 10, 21, 6], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
22: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 12, 11, 10, 13, 24, 18, 21, 16, 17, 23, 25, 26, 22, 28, 27, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
23: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 10, 11, 12, 13, 17, 18, 21, 22, 23, 24, 16, 25, 26, 31, 28, 27], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
24: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 10, 11, 12, 13, 17, 18, 21, 26, 16, 22, 31, 24, 23, 25, 28, 27], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
25: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 10, 11, 12, 13, 17, 18, 21, 26, 16, 22, 31, 24, 23, 25, 28, 27], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
26: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 11, 9, 10, 12, 13, 21, 16, 18, 17, 22, 31, 23, 24, 26, 27, 28, 25], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
27: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 11, 10, 13, 12, 21, 22, 16, 18, 17, 23, 25, 24, 26, 27, 28, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
28: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 9, 11, 12, 13, 17, 24, 18, 16, 22, 23, 27, 31, 25, 26, 28, 10, 21, 6], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
29: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 12, 9, 11, 6, 10, 13, 17, 16, 18, 22, 21, 23, 25, 26, 24, 28, 27, 31], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 52, 48, 50, 54, 55, 56, 57, 58, 60]]
30: [[35, 20, 7, 2, 1, 19, 30, 3, 4], [15, 5, 8, 14, 6, 9, 12, 10, 13, 11, 16, 17, 21, 18, 22, 23, 24, 25, 26, 31, 27, 28], [29, 32, 34, 38, 42, 44, 33, 37, 36, 39, 40, 45, 43, 46], [41, 47, 53, 51, 49, 59, 54, 48, 50, 52, 55, 56, 57, 58, 60]]
