0: [[1, 3], [5, 7, 10, 2], [14, 8, 4], [12, 13, 11, 9], [16, 6, 15], [19, 17, 18, 20]]
1: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4], [11, 12, 9], [16, 6, 15], [17, 18, 19, 20]]
2: [[1, 3], [5, 7, 10, 2], [14, 8], [12, 13, 11, 9], [16, 4, 6, 15], [17, 18, 19, 20]]
3: [[1, 3], [5, 7, 10, 2], [14, 4, 6], [12, 13, 11, 8, 15, 16, 9], [17, 18, 19, 20]]
4: [[1, 3], [5, 7, 10, 2], [14, 4, 6], [8, 13, 11, 9], [12, 17, 18], [19, 16, 20, 15]]
5: [[1, 3], [5, 7, 10], [2, 14, 4, 6], [12, 13, 8], [11, 16, 9, 15], [17, 19, 18, 20]]
6: [[1, 3], [5, 7, 10, 2], [14, 4, 6, 11], [8, 9, 13], [12, 15, 16], [18, 19, 17, 20]]
7: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 9, 4, 6], [11, 12, 16, 15], [17, 19, 18, 20]]
8: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 9, 4, 6], [11, 12, 16, 15], [17, 19, 18, 20]]
9: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 11, 12, 9, 4, 6], [15, 17, 18, 19, 16, 20]]
10: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4, 6], [11, 12, 9, 15], [16, 17, 19, 18, 20]]
11: [[1, 3], [5, 7, 10, 2], [14, 4, 6], [12, 13, 8, 16, 15, 17, 9], [11, 18, 19, 20]]
12: [[1, 3], [5, 7, 10], [2, 14, 8, 6], [13, 9, 4], [12, 11, 15], [16, 17, 18, 19, 20]]
13: [[1, 3], [5, 7, 10], [2, 14, 8, 6], [13, 9, 4], [12, 11, 15], [16, 17, 18, 19, 20]]
14: [[1, 3], [5, 7, 10, 2], [14, 8, 6], [13, 11, 4], [12, 9, 15], [18, 17, 16, 19, 20]]
15: [[1, 3], [5, 7, 10, 2, 14, 8, 6], [13, 9, 4], [11, 15, 12, 17, 18, 19, 16, 20]]
16: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4], [11, 9], [12, 17], [19, 16, 6, 15], [18, 20]]
17: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4, 6], [12, 11], [16, 17, 19, 9, 15], [18, 20]]
18: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4, 6], [11, 9], [12], [16, 17, 15], [19, 18, 20]]
19: [[1, 3], [5, 7, 10], [2, 14, 8, 4], [12, 13, 6], [11, 17, 9], [19, 18, 16, 20, 15]]
20: [[1, 3], [5, 7, 10], [2, 14, 8], [6, 4, 15, 9], [11, 12, 13, 17], [18, 19, 16, 20]]
21: [[1, 3], [5, 7, 10], [2, 14, 4], [13, 9, 6], [8, 11], [12, 17, 18], [19, 16, 20, 15]]
22: [[1, 3], [5, 7, 10], [2, 14, 9, 6], [8, 11, 13, 4], [12, 17, 18], [19, 16, 20, 15]]
23: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 9, 4, 6], [11, 12, 17, 15], [19, 18, 16, 20]]
24: [[1, 3], [5, 7, 10, 2], [14, 4, 6], [8, 12], [11, 13, 17, 9, 15], [19, 16, 18, 20]]
25: [[1, 3], [5, 7, 10], [2, 14, 8, 6], [12, 13, 11, 15, 16, 19, 18, 17, 20, 9, 4]]
26: [[1, 3], [5, 7], [10, 2, 14, 8], [13, 9, 4, 6], [11, 12, 17, 15], [18, 19, 16, 20]]
27: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4, 6], [11, 9, 15], [12, 17, 18, 19, 16, 20]]
28: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4, 6], [11, 9, 15], [12, 16, 17, 19, 18, 20]]
29: [[1, 3], [5, 7, 10], [2, 14, 12, 4, 6], [13], [11, 9], [8, 16, 17, 15], [19, 18, 20]]
30: [[1, 3], [5, 7, 10], [2, 14, 8], [13, 4, 6], [11, 9, 15], [12, 17], [16, 19, 18, 20]]
31: [[1, 3, 5], [7, 10, 2], [14, 8, 6], [12, 13], [4, 9, 11], [15, 16], [17, 19, 18, 20]]
32: [[1, 3], [5, 7, 10, 2], [14, 8, 9, 6], [13, 11, 12, 15, 16, 19, 4], [17, 18, 20]]
33: [[1, 3], [5, 7], [10, 2, 14, 6], [8, 4], [13, 11, 9], [12], [16, 17, 15], [19, 18, 20]]
34: [[1, 3], [5, 7, 10], [2, 14, 8], [12, 13, 6], [11, 15, 16, 17, 19, 18, 20, 9, 4]]
35: [[1, 3], [5, 7, 10], [2, 14, 12, 4], [8, 13, 6], [11, 17, 9], [18, 16, 20, 19, 15]]
36: [[1, 3], [5, 7, 10], [2, 14, 12, 4], [11, 6], [8, 13, 17, 9], [18, 19, 20, 16, 15]]
37: [[1, 3, 5], [7, 10, 2], [14, 8, 13, 4, 6], [12, 11, 15, 16, 17, 18, 19, 20, 9]]
38: [[1, 3, 5], [7, 10, 2], [14, 8, 6], [13, 9, 4], [11, 12, 17, 15], [18, 19, 16, 20]]
39: [[1, 3, 5], [7, 10, 2], [14, 8, 4], [13, 6], [11, 9], [12, 17], [19, 16, 18, 20, 15]]
40: [[1, 3, 5, 7], [10, 2, 14, 6], [8, 4], [12, 11, 15], [13, 16, 17, 9], [18, 19, 20]]
41: [[1, 3, 5, 7], [10, 2, 14], [8, 6, 13, 11, 12, 9, 4], [16, 17, 19, 15], [18, 20]]
