0: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
1: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
2: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
3: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
4: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
5: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
6: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
7: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
8: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
9: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
10: [[37, 14, 25, 26], [35, 46, 2], [4, 15, 7, 6, 10], [23], [42, 56], [58], [20, 19, 24, 45, 12], [16, 36, 50, 54, 29], [27, 11], [3, 30, 31, 51], [33, 52, 34], [39, 57], [1], [13, 21], [8, 9], [47], [5, 40, 44, 18], [22, 28], [32, 17, 53, 49], [43, 38], [41, 59, 48], [55, 60]]
