0: [[10, 13, 4, 2], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
1: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
2: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
3: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
4: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
5: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
6: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
7: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
8: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
9: [[10, 13, 2, 4], [3, 1, 5], [7, 6, 11, 9, 8, 12]]
10: [[10, 13, 2], [4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
11: [[10, 13, 2], [4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
12: [[10, 13, 2], [4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
13: [[10, 13, 2], [4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
14: [[10, 13, 2], [4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
15: [[10, 13, 2], [4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
16: [[10, 13, 2], [4, 3, 1], [5, 7, 6, 11, 9, 8, 12]]
17: [[10, 13, 2], [4, 3, 1], [5, 7, 6, 11, 9, 8, 12]]
18: [[10, 13], [2, 4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
19: [[10, 13], [2, 4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
20: [[10, 13], [2, 4, 3, 1, 5], [7, 6, 11, 9, 8, 12]]
21: [[10, 13, 2, 4], [3, 1, 5, 7], [6, 11, 9, 8, 12]]
22: [[10, 13, 2, 4], [3, 1, 5, 7], [6, 11, 9, 8, 12]]
23: [[10, 13, 2], [4, 3, 1, 5, 7], [6, 11, 9, 8, 12]]
24: [[10, 13], [2, 4, 3, 1], [5, 7, 6, 11, 9, 8, 12]]
25: [[10, 13, 2, 4, 3], [1, 5, 7], [6, 11, 9, 8, 12]]
26: [[10, 13, 2, 4, 3], [1, 5, 7], [6, 11, 9, 8, 12]]
27: [[10, 13, 2, 4, 3], [1, 5, 7], [6, 11, 9, 8, 12]]
