0: [[10, 4], [5, 3, 1], [6, 8, 7, 9, 11, 12, 13, 2]]
1: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
2: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
3: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
4: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
5: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
6: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
7: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
8: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
9: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
10: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
11: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
12: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
13: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
14: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
15: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
16: [[1, 10, 4], [5, 3], [6, 2, 8, 7, 9, 11, 12, 13]]
17: [[1, 10, 4, 5, 3], [6, 2], [8, 7, 9, 11, 12, 13]]
18: [[1, 10, 4, 5], [3, 6], [2, 8, 7, 9, 11, 12, 13]]
19: [[1, 10, 4, 5], [3, 6], [2, 8, 7, 9, 11, 12, 13]]
20: [[1, 10, 4, 5], [3, 6], [2, 8, 7, 9, 11, 12, 13]]
21: [[1, 10, 4, 5], [3, 6], [2, 8, 7, 9, 11, 12, 13]]
22: [[1, 10, 4, 5], [3, 6], [2, 8, 7, 9, 11, 12, 13]]
23: [[1, 10, 4, 5], [3, 6], [2, 8, 7, 9, 11, 12, 13]]
24: [[1, 10, 4, 5], [3, 6], [2, 8, 7, 9, 11, 12, 13]]
25: [[1, 10], [4, 5], [3, 6, 2, 8, 7, 9, 11, 12, 13]]
26: [[1, 10], [4, 5], [3, 6, 2, 8, 7, 9, 11, 12, 13]]
27: [[1, 10], [4, 5], [3, 6, 2, 8, 7, 9, 11, 12, 13]]
