0: [[35, 27, 7, 2], [22], [3, 1, 14, 15, 4, 10, 18], [5], [8, 9, 26, 6, 21], [13, 11, 16], [19, 25, 20], [31], [24, 23, 17, 30, 28, 29, 12], [40, 33], [34, 36, 32, 39], [37, 46, 59], [45, 41], [42, 38, 47, 43, 54, 44], [51, 48], [55, 50], [52], [53], [49, 57], [58, 56, 60]]
1: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 12, 10, 9, 8, 11, 31, 15, 28, 30, 16, 19, 17, 23, 18, 21, 24, 6], [25, 22, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 56, 59, 57, 58, 60]]
2: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 12, 10, 9, 8, 11, 31, 15, 28, 30, 16, 19, 17, 23, 18, 21, 24, 6], [25, 22, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 56, 59, 57, 58, 60]]
3: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 11, 9, 8, 10, 12, 13, 30, 28, 17, 16, 15, 19, 23, 31, 18, 21, 24], [22, 26, 25, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [46, 47, 54, 59, 48, 53, 50, 49, 51, 52, 58, 55, 56, 57, 60]]
4: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 10, 12, 6, 11, 9, 15, 24, 23, 16, 19, 26, 31, 18, 17, 28, 21], [25, 30, 22, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 56, 59, 57, 58, 60]]
5: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 5, 8, 11, 12, 9, 24, 10, 31, 16, 19, 17, 15, 26, 18, 23, 30, 21], [22, 29, 25, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 52, 49, 50, 53, 48, 51, 60, 57, 56, 55, 58]]
6: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 8, 10, 11, 9, 13, 24, 12, 15, 18, 31, 17, 23, 16, 19, 26, 30, 21], [22, 25, 28, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 55, 52, 56, 58, 59, 57, 60]]
7: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 10, 6, 8, 9, 11, 12, 30, 13, 31, 23, 29, 16, 15, 24, 17, 25, 21, 26], [18, 19, 22, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 57, 58, 59, 56, 60]]
8: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 9, 10, 6, 5, 11, 12, 8, 24, 31, 28, 19, 15, 21, 23, 18, 16, 17, 22], [26, 29, 30, 25, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 49, 51, 55, 53, 52, 48, 56, 50, 58, 57, 60]]
9: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 8, 11, 9, 12, 13, 10, 28, 15, 16, 24, 17, 31, 18, 22, 19, 21, 23], [29, 26, 25, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 55, 53, 56, 57, 59, 58, 60]]
10: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 8, 5, 10, 24, 6, 12, 9, 11, 31, 15, 17, 18, 16, 19, 23, 21, 22, 28], [26, 25, 30, 29, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 57, 56, 59, 58, 60]]
11: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 24, 9, 5, 8, 11, 28, 10, 12, 17, 15, 22, 31, 16, 21, 23, 18, 19], [30, 25, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 52, 48, 53, 56, 50, 55, 60, 58, 57, 59]]
12: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 24, 6, 11, 9, 10, 28, 8, 19, 12, 15, 23, 18, 16, 31, 21, 22, 17], [30, 26, 25, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 49, 48, 51, 53, 55, 50, 56, 52, 57, 58, 60]]
13: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 8, 15, 10, 12, 13, 11, 28, 23, 25, 17, 18, 16, 21, 24, 19, 31], [22, 30, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 52, 50, 48, 53, 55, 59, 57, 56, 58, 60]]
14: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 9, 15, 10, 5, 8, 25, 24, 11, 12, 16, 31, 17, 19, 18, 23, 28, 21], [22, 30, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 50, 49, 52, 48, 55, 53, 56, 57, 58, 59, 60]]
15: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 8, 15, 10, 12, 13, 11, 28, 23, 25, 17, 18, 16, 21, 24, 19, 31], [22, 30, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 52, 50, 48, 53, 55, 59, 57, 56, 58, 60]]
16: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 8, 15, 10, 12, 13, 11, 28, 23, 25, 17, 18, 16, 21, 24, 19, 31], [22, 30, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 52, 50, 48, 53, 55, 59, 57, 56, 58, 60]]
17: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 9, 10, 8, 6, 11, 13, 12, 16, 30, 28, 18, 19, 23, 21, 17, 15, 22, 24], [25, 26, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 49, 48, 50, 53, 52, 51, 56, 55, 58, 57, 60]]
18: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 8, 5, 12, 10, 9, 30, 11, 28, 21, 17, 19, 15, 24, 22, 23, 18, 16], [25, 26, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 55, 49, 53, 50, 52, 58, 59, 56, 60, 57]]
19: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 6, 9, 10, 11, 23, 15, 30, 16, 12, 19, 17, 22, 18, 21, 24, 28], [25, 31, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 50, 48, 55, 53, 52, 51, 56, 57, 49, 58, 60]]
20: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 11, 6, 8, 9, 25, 30, 10, 12, 21, 17, 28, 23, 15, 16, 18, 24, 19], [22, 29, 26, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 60, 56, 57, 59, 58]]
21: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 10, 11, 12, 13, 24, 28, 15, 16, 25, 17, 23, 8, 18, 19, 30, 21], [22, 26, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 52, 49, 50, 53, 55, 48, 56, 57, 58, 59, 60]]
22: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 8, 28, 6, 10, 12, 25, 16, 19, 11, 15, 24, 30, 17, 18, 21, 23], [26, 22, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 59, 48, 49, 50, 53, 51, 55, 56, 52, 57, 58, 60]]
23: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 8, 6, 10, 11, 28, 12, 31, 24, 22, 17, 23, 21, 15, 25, 16, 18], [19, 26, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 53, 52, 51, 56, 55, 58, 57, 60]]
24: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 10, 8, 12, 13, 26, 15, 18, 16, 19, 22, 17, 11, 21, 23, 24, 28], [25, 29, 30, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 49, 48, 50, 53, 52, 55, 56, 57, 58, 51, 60]]
