0: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9, 16, 13, 18, 24, 20, 10, 12, 22, 14], [23, 29, 28], [27, 26, 21]]
1: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8, 7], [9, 16, 13], [18, 24, 10, 14], [12, 22, 20], [23, 21, 28], [27, 26, 29]]
2: [[17], [25, 5, 6], [15, 11], [2, 19, 1, 3, 4, 8], [7, 9, 16, 13, 24, 10, 12, 20, 23, 14, 22, 18], [21, 27, 26, 28, 29]]
3: [[17, 25], [5, 6, 15, 11], [2, 19, 1], [3, 4, 8, 7, 9], [16, 14, 18, 24], [12, 10, 13], [26, 27, 21], [23, 22, 20, 28, 29]]
4: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9, 16, 13, 18, 24, 20, 14, 12, 22, 10], [21, 23, 28, 27], [26, 29]]
5: [[17], [25, 5, 6], [15, 11, 2], [19, 1, 3], [4, 8, 7], [9, 16], [13, 18, 24], [20, 10, 12], [22, 14, 23, 29], [28, 27, 26, 21]]
6: [[17], [25, 5, 6], [15, 11, 2], [19, 1, 3, 4, 8, 7, 9, 16, 13, 18, 24], [20, 10, 12], [22, 14, 23], [29, 28, 27, 26, 21]]
7: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9, 16], [13, 18, 24], [10, 12], [20, 22, 28], [14, 21, 23], [27, 26, 29]]
8: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8, 7], [9, 16, 13], [18, 24, 10, 14, 12], [22, 26, 20, 23, 28, 27, 21, 29]]
9: [[17], [25, 5], [6, 15, 11], [2, 19, 1, 3, 4], [8, 7, 9], [16, 13, 20, 24, 26, 28, 12, 18, 10, 14, 23, 22], [21, 27, 29]]
10: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8, 7, 9], [16, 13, 18, 24, 10, 14, 12, 22, 26, 20, 21], [29, 27, 23, 28]]
11: [[17], [25, 5], [6, 15, 11, 2], [19, 1], [3, 4, 8, 7, 9, 16, 13, 18, 24, 12, 10, 14, 22, 29, 23, 20, 27], [26, 21, 28]]
12: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4], [8, 7, 9], [16, 13], [18, 24, 12], [10, 28, 22], [14, 29, 20, 21], [27, 23, 26]]
13: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4], [8, 7, 9, 16, 13, 18, 24, 12, 10, 28, 22, 29, 14, 20, 21, 27, 23, 26]]
14: [[17], [25, 5, 6], [15, 11], [2, 19], [1, 3], [4, 8, 7], [9, 16, 13, 22, 24, 14, 10, 12, 21, 18, 20], [23, 26, 28, 27, 29]]
15: [[17], [25, 5], [6, 15, 11], [2, 19, 1], [3, 4, 8, 7, 9, 16, 13, 18, 24, 12, 10], [29, 22, 26], [14, 21, 20], [23, 27, 28]]
16: [[17], [25, 5], [6, 15, 11], [2, 19, 1], [3, 4], [8, 7, 9, 16, 13, 22, 24, 10, 12, 14, 20, 18, 21, 23, 26, 29, 27], [28]]
17: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7], [9, 16, 14, 22], [24, 20], [13, 12, 10, 18], [21, 23, 27], [26, 28, 29]]
18: [[17], [25, 5, 6], [15, 11], [2, 19, 1, 3], [4, 8], [7, 9, 16], [14, 22, 24, 12, 10, 13, 21, 20, 23, 18, 26, 27, 29, 28]]
19: [[17], [25, 5, 6], [15, 11, 2], [19, 1], [3, 4, 8], [7, 9], [16, 13, 22], [24, 10, 12, 18], [14, 20, 21, 23, 29, 27], [26, 28]]
20: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9], [16, 13, 18], [24, 10, 14], [12, 22, 26, 23], [21, 28, 27, 20, 29]]
21: [[17], [25, 5], [6, 15, 11], [2, 19, 1], [3, 4, 8, 7, 9, 16, 13, 22, 24, 18, 10], [12, 26, 14], [21, 29, 20], [23, 27, 28]]
