0: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
1: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
2: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
3: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
4: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
5: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
6: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
7: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
8: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
9: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
10: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
11: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
12: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
13: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
14: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
15: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
16: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
17: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
18: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
19: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
20: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
21: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
22: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
23: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
24: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
25: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
