0: [[9, 6], [5, 3], [4, 10, 1], [7, 13, 11, 8, 12, 2]]
1: [[9, 6], [3, 5], [4, 10, 1, 2], [7, 13, 11, 8, 12]]
2: [[9, 6], [3, 5, 4, 10, 1], [2, 7, 13, 11, 8, 12]]
3: [[9, 6], [5, 3], [4, 10], [1, 2, 7, 13, 11, 8, 12]]
4: [[9, 6], [3, 5], [4, 10], [1, 2], [7, 13, 11, 8, 12]]
5: [[3, 5], [4, 10], [1, 2, 7, 13, 9], [11, 8, 12, 6]]
6: [[3, 5], [4, 10], [1, 2, 7, 13, 9], [11, 8, 12, 6]]
7: [[9, 6], [3, 5], [4, 10], [1, 2], [7, 13], [11, 8, 12]]
8: [[9, 6], [5, 3], [4, 10], [1, 2, 7, 13, 11, 8], [12]]
9: [[9, 6], [3, 5], [4, 10], [1, 2], [7, 13], [11, 8, 12]]
10: [[9, 6], [3, 5], [4, 10], [1, 2], [7, 13], [11, 8, 12]]
11: [[9, 6], [3, 5], [4, 10], [1, 2], [7, 13], [11, 8, 12]]
12: [[9, 6], [3, 5], [4, 10], [1, 2], [7, 13], [11, 8, 12]]
13: [[5], [4, 10], [1, 2, 3], [7, 13, 11, 9], [8, 12, 6]]
14: [[5], [4, 10], [1, 2, 3], [7, 13, 11, 9], [8, 12, 6]]
15: [[5], [4, 10], [1, 2, 3], [7, 13, 11, 9], [8, 12, 6]]
16: [[5], [4, 10], [1, 2, 3], [7, 13, 11, 9], [8, 12, 6]]
17: [[5], [4, 10], [1, 2, 3], [7, 13, 11, 9], [8, 12, 6]]
18: [[9, 6], [3, 5, 4], [10, 1, 2, 7, 13, 11, 8, 12]]
19: [[9, 6], [3, 5, 4, 10], [1, 2], [7, 13], [11, 8, 12]]
20: [[9], [3, 5], [10, 1, 2, 7, 13, 11], [8, 12, 6, 4]]
21: [[9], [3, 5], [10, 1, 2, 7, 13, 11], [8, 12, 6, 4]]
22: [[9], [3, 5], [10, 1, 2, 7, 13, 11], [8, 12, 6, 4]]
23: [[3], [5, 4, 10], [1, 2], [7, 13], [11, 8, 12, 9, 6]]
24: [[9, 6], [3, 5, 4, 10, 1, 2, 7, 13, 11, 8], [12]]
25: [[9], [6, 3, 5, 4, 10, 1, 2, 7, 13, 11, 8], [12]]
26: [[9, 6, 3], [5, 4, 10, 1, 2, 7], [13, 11, 8, 12]]
27: [[9, 6], [3, 5, 4, 10, 1, 2, 7], [13, 11], [8, 12]]
