0: [[10, 3, 2, 22, 16, 4, 14], [6, 5, 13], [7, 9, 11], [8, 12, 15, 18], [17, 20, 19, 1], [21, 23, 24]]
1: [[10, 3, 2, 22, 16, 1, 4, 14], [6, 5], [7, 9, 11], [8, 12, 13, 15, 18], [17, 20, 19], [21, 23, 24]]
2: [[10, 3, 2, 22, 16, 1, 4, 14], [6, 5], [7, 9, 11], [8, 12, 13, 15, 18], [17, 20, 19], [21, 23, 24]]
3: [[10, 3, 2, 22, 16, 1, 4, 14], [6, 5], [7, 9, 11], [8, 12, 13, 15, 18], [17, 20, 19], [21, 23, 24]]
4: [[10, 3, 14], [2, 22, 16, 4], [6, 5], [7, 9, 11], [8, 12, 13], [15, 18], [17, 20, 19, 1], [21, 23, 24]]
5: [[10, 3, 14], [2, 22], [16, 6, 5, 4], [7, 9, 11], [8, 12, 13], [15, 18], [17, 20, 19, 1], [21, 23, 24]]
6: [[10, 14], [3, 2, 22, 4], [16, 6, 5, 7], [9, 11, 8, 1], [12, 13], [15, 18, 17, 20], [19], [21, 23, 24]]
7: [[10, 14], [3, 2, 22, 4], [16, 6, 5], [7, 9, 11], [8, 12], [13, 15, 18], [17, 20, 19, 1], [21, 23, 24]]
8: [[10, 3], [2, 22, 16], [6, 5, 7, 4, 14], [9, 11, 8], [12, 13, 15, 18], [17, 20, 19, 1], [21, 23, 24]]
9: [[10, 14], [3, 2], [22, 16, 4], [6, 5], [7, 9], [11, 8, 12, 13], [15, 18, 17], [20, 19, 1], [21, 23, 24]]
10: [[10, 14], [3, 2], [22, 16, 4], [6, 5], [7, 9], [11, 8, 12, 13], [15, 18, 17], [20, 19, 1], [21, 23, 24]]
11: [[10, 3, 14], [2, 22, 16, 4], [6, 5], [7, 9, 11, 8, 12], [13, 15], [18, 17], [20, 19, 1], [21, 23, 24]]
12: [[10, 3, 14], [2, 22, 16, 4], [6, 5], [7, 9, 11, 8], [12, 13, 1], [15, 18], [17, 20, 19, 21], [23, 24]]
13: [[10, 14], [3, 2, 1], [22, 16, 4], [6, 5], [7, 9], [11, 8, 12], [13, 15, 18], [17, 20, 19], [21, 23, 24]]
14: [[10, 3, 2, 22, 16, 6, 4, 14], [5, 7], [9, 11, 8, 1], [12, 13, 15, 18, 17], [20, 19], [21, 23, 24]]
15: [[10, 3, 14], [2, 22], [16, 6, 4], [5, 7, 9], [11, 8, 12, 13], [15, 18, 17], [20, 19, 1], [21, 23, 24]]
16: [[10, 3, 14], [2, 22], [16, 6, 4], [5, 7, 9], [11, 8, 12, 13], [15, 18, 17], [20, 19, 1], [21, 23, 24]]
