0: [[2, 10, 1], [11, 7], [5, 4], [14, 13, 6, 12], [8, 15, 9, 19], [16, 18, 3], [17, 20, 22], [21, 23, 24]]
1: [[2, 10, 1], [11, 7], [5, 4], [14, 13, 6, 12], [8, 15, 9, 19], [16, 18, 3], [17, 20, 22], [21, 23, 24]]
2: [[2, 10], [11, 7], [4], [14, 6, 12, 5, 13], [8, 15, 9, 19], [16, 18, 3], [17, 20, 22, 1], [21, 23, 24]]
3: [[2, 10], [11, 7], [5, 4, 14], [13, 6], [12, 8, 15], [9, 19, 1], [16, 18, 3], [17, 20], [22, 21, 23, 24]]
4: [[2], [11, 7, 5], [4, 14, 10], [13, 6, 12], [8, 15], [9, 19, 1], [16, 18, 17, 3], [20, 22], [21, 23, 24]]
5: [[2, 10], [11, 7], [5, 4], [14, 13, 6], [12, 8], [15, 9, 19, 1], [16, 18, 3], [17, 20, 22], [21, 23, 24]]
6: [[2, 10], [11, 7], [5, 4, 14], [13, 6], [12, 8], [15, 9, 19, 1], [16, 18, 3], [17, 20, 22], [21, 23, 24]]
7: [[2, 10], [11, 7, 1], [5, 4, 14], [13, 6, 12], [8, 15], [9, 19], [16, 18, 3], [17, 20, 22], [21, 23, 24]]
8: [[2], [11, 7, 10], [5, 4], [14, 13, 6, 12], [8, 15, 9], [19, 16, 3, 1], [18, 17], [20, 22], [21, 23, 24]]
9: [[2], [11, 7, 5], [4, 14, 10], [13, 6, 12], [8, 15], [9, 19, 16, 3, 1], [18, 17], [20, 22], [21, 23, 24]]
10: [[2], [11, 7, 10, 1], [5, 4], [14, 13, 6], [12, 8, 15, 9], [19, 16, 18, 3], [17, 20, 22], [21, 23, 24]]
11: [[2], [11, 7, 5], [4, 14, 10], [13, 6, 12], [8, 15], [9, 19, 16, 3, 1], [18, 17, 20], [22, 21, 23, 24]]
12: [[2], [11, 7, 10], [5, 4, 14], [13, 6], [12, 8, 15, 9], [19, 16, 3, 1], [18, 17], [20, 22], [21, 23, 24]]
13: [[2], [11, 7, 5], [4, 14, 13, 10], [6, 12], [8, 15, 9], [19, 16, 18, 3], [17, 20, 22, 1], [21, 23, 24]]
14: [[2], [11, 7], [5, 4, 14, 10], [13, 6], [12, 8], [15, 9, 19, 16, 3, 1], [18, 17, 20, 22], [21, 23, 24]]
15: [[2], [11, 7], [5, 4], [14, 13], [6, 12], [8, 15, 9], [19, 16, 3, 10, 1], [18, 17, 20], [22, 21, 23, 24]]
16: [[2, 10], [11, 7], [5, 4, 14], [13, 6], [12, 8], [15, 9, 19, 1], [16, 18, 3], [17, 20, 22, 21], [23, 24]]
17: [[2], [11, 7, 5], [4, 14, 13, 6, 10], [12, 8], [15, 9, 19], [16, 18, 3], [17, 20, 22, 1], [21, 23, 24]]
18: [[2], [11, 7, 10], [5, 4], [14, 13, 6, 12, 8], [15, 9], [19, 16, 18, 3], [17, 20, 1], [22, 21, 23, 24]]
19: [[2], [11, 7, 10], [5, 4], [14, 13, 6, 12], [8, 15, 9], [19, 16, 3, 1], [18, 17, 20, 22, 21], [23, 24]]
20: [[2], [11, 7, 10], [5, 4, 14], [13, 6, 12, 8], [15, 9], [19, 16, 3, 1], [18, 17, 20], [22, 21, 23, 24]]
21: [[2], [11, 7, 5, 4], [14, 13, 6, 10], [12, 8], [15, 9, 19], [16, 18, 3], [17, 20, 22, 1], [21, 23, 24]]
22: [[2], [11], [7, 5], [4, 14, 10], [13, 6, 12], [8, 15], [9, 19, 16, 3, 1], [18, 17], [20, 22], [21, 23, 24]]
23: [[2], [11, 7, 5], [4, 14, 13, 10], [6, 12, 8, 1], [15, 9], [19, 16, 18, 3], [17, 20, 22], [21, 23, 24]]
24: [[2], [11, 7, 5], [4, 14, 13, 10], [6, 12, 8], [15, 9], [19, 16, 3, 1], [18, 17, 20, 22], [21, 23, 24]]
25: [[2], [11, 7, 1], [5, 4, 14, 13, 10], [6, 12, 8], [15, 9], [19, 16, 18, 3], [17, 20, 22], [21, 23, 24]]
26: [[2], [11], [7, 5], [4, 14, 10], [13, 6], [12, 8, 15], [9, 19, 16, 3, 1], [18, 17, 20], [22, 21, 23, 24]]
27: [[2, 3, 10], [1, 11, 7, 5, 4, 14, 13, 6, 12, 8, 15, 9, 19, 16, 18, 17, 20, 22, 21], [23, 24]]
28: [[2], [11, 7, 10, 1], [5, 4, 14], [13, 6], [12, 8, 15, 9], [19, 16, 18, 3], [17, 20], [22, 21], [23, 24]]
29: [[2], [11], [7, 5], [4, 14, 13, 10], [6, 12, 3, 1], [8, 15], [9, 19], [16, 18, 17, 20, 22], [21, 23, 24]]
30: [[2], [11], [7, 5], [4, 14, 13, 10], [6, 12, 8], [15, 9, 19], [16, 18, 3], [17, 20, 22, 1], [21, 23, 24]]
31: [[2], [11], [7, 5, 4], [14, 13], [6, 12], [8, 15], [9, 19, 16, 3, 10, 1], [18, 17, 20, 22], [21, 23, 24]]
32: [[2], [11, 7, 5], [4, 14, 13, 6, 10], [12, 8, 15], [9, 19, 16, 3, 1], [18, 17], [20, 22, 21], [23, 24]]
33: [[2], [11], [7, 5], [4, 14, 13, 6, 10], [12, 8], [15, 9, 19, 1], [16, 18, 17, 20, 3], [22, 21, 23, 24]]
34: [[2], [7, 5, 11], [4, 14, 10], [13, 6], [12, 8], [15, 9], [19, 16, 3, 1], [18, 17], [20, 22, 21], [23, 24]]
35: [[2], [11], [7, 5], [4, 14, 10], [13, 6, 12, 8], [15, 9], [19, 16, 18, 3], [17, 20, 1], [22, 21], [23, 24]]
36: [[2, 3, 10], [1, 11], [7, 5, 4], [14, 13], [6, 12, 8], [15, 9], [19, 16, 18], [17, 20], [22, 21, 23, 24]]
37: [[2], [11, 7, 10, 1], [5, 4], [14, 13, 6, 12, 8], [15, 9], [19, 16, 3], [18, 17], [20, 22, 21, 23, 24]]
38: [[2], [11], [7, 5, 4], [14, 13], [6, 12], [8, 15, 9], [19, 16, 18, 3], [17, 20, 10, 1], [22, 21], [23, 24]]
39: [[2], [11, 7, 5], [4, 14, 10], [13, 6], [12, 8, 15], [9, 19, 16, 3, 1], [18, 17, 20, 22, 21, 23, 24]]
40: [[2], [7, 11], [5, 4], [14, 13, 10], [6, 12, 8], [15, 9], [19, 16, 3], [18, 17], [20, 22, 1], [21, 23], [24]]
41: [[2, 3, 10, 1], [11, 7], [5, 4], [14, 13], [6, 12, 8, 15, 9, 19, 16, 18, 17, 20, 22, 21, 23, 24]]
42: [[2], [11, 7, 1], [5, 4], [14, 13, 6, 12, 3, 10], [8, 15, 9, 19, 16, 18, 17, 20, 22, 21, 23, 24]]
43: [[2, 1, 3, 10], [11, 7, 5, 4], [14, 13, 6], [12, 8, 15, 9, 19, 16, 18, 17, 20, 22, 21, 23, 24]]
44: [[2], [11, 7, 1], [5, 4], [14, 13, 10], [6, 12, 8, 15, 9, 19, 16, 18, 17, 20, 22, 21, 23, 24, 3]]
45: [[2], [1], [11, 7], [5, 4, 14, 13, 10], [6, 12, 8, 15, 9, 19, 16, 18, 17, 20, 22, 21, 23, 24, 3]]
46: [[2], [11, 1], [7, 5], [4, 14, 10], [13, 6, 3], [12, 8, 15, 9], [19, 16, 18, 17, 20, 22, 21, 23, 24]]
47: [[2, 3, 10], [1, 11, 7], [5, 4, 14, 13], [6, 12, 8], [15, 9, 19, 16, 18, 17, 20, 22, 21, 23, 24]]
48: [[2], [11], [7, 5], [4, 14, 13, 6, 12], [8, 15], [9, 19, 16, 3, 10, 1], [18, 17], [20, 22, 21, 23], [24]]
49: [[2, 3], [10, 1, 11, 7, 5, 4, 14, 13, 6, 12, 8, 15, 9, 19, 16, 18, 17, 20, 22, 21, 23], [24]]
