0: [[13, 3, 1, 4, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
1: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
2: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
3: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
4: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
5: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
6: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
7: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
8: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
9: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
10: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
11: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
12: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
13: [[13, 3, 4, 1], [2, 7, 10, 5, 8, 6], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
14: [[13, 3, 4, 1], [2, 7, 10, 5, 8, 6], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
15: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
16: [[13, 3, 1, 4, 6], [2, 7, 10, 5, 8], [9, 11, 12, 14], [15, 16, 18, 19, 20, 17]]
17: [[13, 3, 1, 4, 6], [2, 7, 10, 5, 8], [9, 11, 12, 14], [15, 16, 18, 19, 20, 17]]
18: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
19: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
20: [[13, 3, 4, 1, 2, 6], [7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
21: [[13, 3, 4, 1, 2, 6], [7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
22: [[13, 3, 4, 1, 2, 6], [7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
23: [[13, 3, 4, 1, 2, 6], [7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
24: [[13, 3, 4, 1, 2, 6], [7, 10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
25: [[13, 3, 4, 1, 6], [2, 7, 10, 5, 8], [11, 9], [12, 14, 15, 16, 18, 19, 20, 17]]
26: [[13, 3, 4, 1, 6, 2], [7, 10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
27: [[13, 3, 4, 1, 6, 2], [7, 10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
28: [[13, 3, 4, 1, 6, 2], [7, 10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
29: [[13, 3, 4, 1, 6, 2], [7, 10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
30: [[13, 3, 4, 1], [2, 7, 10, 5, 6], [8, 11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
31: [[13, 3, 4, 1], [2, 7, 10, 5, 6], [8, 11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
32: [[13, 3, 1, 2, 4, 6], [7, 10, 5, 8, 9], [11, 12, 14], [15, 16, 18, 19, 20, 17]]
33: [[13, 3, 1, 2, 4, 6], [7, 10, 5, 8, 9], [11, 12, 14], [15, 16, 18, 19, 20, 17]]
34: [[13, 3, 4, 1, 2, 7, 6], [10, 5, 8], [11, 12, 9], [14, 15, 16, 18, 19, 20, 17]]
35: [[13, 3, 4, 1, 6, 2, 7], [10, 5, 8, 9], [11, 12], [14, 15, 16, 18, 19, 20, 17]]
36: [[13, 3, 4, 1, 6], [2, 7, 10, 5], [8, 11, 9], [12, 14, 15, 16, 18, 19, 20, 17]]
37: [[13, 3, 4, 1], [2, 7, 10, 5, 6], [8, 11, 9], [12, 14, 15, 16, 18, 19, 20, 17]]
38: [[13, 3, 4, 1], [2, 7, 10, 5, 6], [8, 11, 9], [12, 14, 15, 16, 18, 19, 20, 17]]
39: [[13, 3, 4, 1], [2, 7, 10, 5, 6], [8, 11, 9], [12, 14, 15, 16, 18, 19, 20, 17]]
40: [[13, 3, 4, 1], [2, 7, 10, 5, 6], [8, 11, 9], [12, 14, 15, 16, 18, 19, 20, 17]]
41: [[13, 3, 4, 1], [2, 7, 10, 5, 6], [8, 11, 9], [12, 14, 15, 16, 18, 19, 20, 17]]
