0: [[4, 19], [6, 5], [1, 2, 13], [3, 10], [7, 11], [8, 9, 15], [14, 12, 16, 20, 17, 18, 22], [21, 23, 24]]
1: [[4, 19], [6, 5], [1, 2, 13], [3, 10], [7, 11], [8, 9], [15, 14, 12], [16, 20, 17, 18, 22], [21, 23, 24]]
2: [[5], [1, 2, 13, 3, 10, 6], [7, 11], [8, 9], [15, 14, 12, 4, 19], [16, 20, 17, 18, 22], [21, 23, 24]]
3: [[4, 19], [6, 5], [1, 2, 13], [3, 10], [7, 11], [8, 9, 15], [14, 12], [16, 20], [17, 18, 22], [21, 23, 24]]
4: [[5, 1, 2], [13, 3, 6], [10, 7, 11], [8, 9, 15], [14, 12, 16, 4, 19], [20, 17, 18, 22], [21, 23, 24]]
5: [[5], [1, 2], [13, 3, 6], [10, 7, 11], [8, 9, 15, 14], [12, 16], [20, 17], [18, 22, 4, 19], [21, 23, 24]]
6: [[5], [1, 2, 13], [3, 10], [7, 11, 8], [9, 15, 14, 4, 6], [12, 16, 19], [20, 17, 18, 22], [21, 23, 24]]
7: [[5, 4], [1, 2], [13, 3, 10, 7, 11, 6], [8, 9, 15, 14], [12, 16, 20, 17, 19], [18, 22], [21, 23, 24]]
8: [[5, 1, 4, 19], [2, 13, 6], [3, 10], [7, 11], [8, 9, 15], [14, 12], [16, 20], [17, 18, 22], [21, 23, 24]]
9: [[5], [1, 2], [13, 3, 6], [10, 7, 11], [8, 9], [15, 14, 4], [12, 16, 20], [17, 18, 22, 19], [21, 23, 24]]
10: [[4, 19], [6, 5], [1, 2, 13], [3, 10], [7, 11], [8, 9, 15, 14], [12, 16, 20, 17, 18], [22, 21], [23, 24]]
11: [[5], [1, 2, 13, 6], [3, 10], [7, 11], [8, 9], [15, 14, 4], [12, 16, 20], [17, 18, 19], [22, 21, 23, 24]]
12: [[5], [1, 2], [13, 3, 6], [10, 7, 11, 8], [9, 15, 4], [14, 12, 19], [16, 20, 17, 18, 22], [21, 23, 24]]
13: [[4, 19], [6, 5], [1, 2], [13, 3], [10, 7, 11], [8, 9, 15, 14], [12, 16, 20], [17, 18, 22], [21, 23, 24]]
14: [[5, 1], [2, 13, 6], [3, 10], [7, 11], [8, 9, 15, 14], [12, 16, 4, 19], [20, 17], [18, 22], [21, 23, 24]]
15: [[4, 19], [6, 5], [1, 2], [13, 3, 10, 7, 11, 8, 9, 15, 14, 12, 16, 20, 17, 18], [22, 21, 23, 24]]
16: [[5], [1, 2], [13, 3, 10, 7, 11, 8], [9, 15, 14, 12, 6], [16, 20, 17], [18, 22, 4, 19], [21, 23, 24]]
17: [[5], [1, 2], [13, 3, 10, 6], [7, 11], [8, 9], [15, 14, 12, 16], [20, 17, 18], [22, 21, 4, 19], [23, 24]]
18: [[5, 1, 2, 4, 19], [13, 3, 10, 7, 11, 8, 6], [9, 15], [14, 12], [16, 20, 17, 18], [22, 21, 23, 24]]
19: [[5], [1, 2], [13, 3, 6], [10, 7], [11, 8], [9, 15, 14, 12], [16, 20, 17], [18, 22, 4, 19], [21, 23, 24]]
20: [[5], [1, 2], [13, 3, 6], [10, 7, 11], [8, 9], [15, 14, 12, 16], [20, 17, 18], [22, 21, 4, 19], [23, 24]]
21: [[5], [1, 2], [13, 3, 6], [10, 7, 11, 8], [9, 15, 14, 12, 4, 19], [16, 20], [17, 18], [22, 21, 23, 24]]
22: [[5], [1, 2], [13, 3], [10, 7, 11], [8, 9, 15], [14, 12, 16, 6], [20, 17, 18], [22, 21, 4, 19], [23, 24]]
23: [[5], [1, 2], [13, 3], [10, 7, 11], [8, 9, 15], [14, 12, 16, 6], [20, 17, 18], [22, 21, 4, 19], [23, 24]]
24: [[5, 1], [2, 13, 3, 6], [10, 7, 11], [8, 9], [15, 14, 4], [12, 16, 19], [20, 17, 18], [22, 21, 23, 24]]
25: [[4, 19], [6, 5, 1, 2, 13], [3, 10, 7, 11, 8, 9, 15, 14, 12, 16, 20, 17, 18, 22, 21], [23, 24]]
26: [[5, 19], [1, 2], [13, 3, 6], [10, 7, 11], [8, 9], [15, 14, 4], [12, 16, 20], [17, 18, 22, 21], [23, 24]]
27: [[5], [1, 2], [13, 3, 6], [10, 7], [11, 8], [9, 15, 14, 4], [12, 16, 19], [20, 17, 18], [22, 21, 23, 24]]
28: [[5], [1, 2, 13, 6], [3, 10], [7, 11, 8, 9], [15, 14, 4], [12, 16, 20, 17, 19], [18, 22], [21], [23, 24]]
29: [[5, 1, 2, 13], [3, 10], [7, 11, 8], [9, 15, 14, 12, 16, 20, 4, 6], [17, 18, 19], [22, 21], [23, 24]]
30: [[1, 2], [13, 3, 6], [10, 7], [11, 8, 9, 15], [14, 12], [16, 20], [17, 18, 5], [22, 21, 4, 19], [23, 24]]
31: [[5], [1, 2], [13, 3, 10, 7, 6], [11, 8, 9, 15], [14, 12, 4, 19], [16, 20], [17, 18, 22, 21], [23, 24]]
32: [[5], [1, 2], [13, 3, 6], [10, 7], [11, 8, 9], [15, 14, 4], [12, 16, 19], [20, 17, 18, 22, 21], [23, 24]]
33: [[5], [1, 2, 13], [3, 10, 7, 6], [11, 8], [9, 15, 14, 12, 4, 19], [16, 20, 17], [18, 22, 21], [23, 24]]
34: [[5], [1, 2, 13], [3, 10, 7, 6], [11, 8], [9, 15, 14, 12, 4, 19], [16, 20, 17], [18, 22, 21], [23, 24]]
35: [[1, 2], [13, 3, 6], [10, 7], [11, 8], [9, 15, 4, 19], [14, 12, 5], [16, 20, 17], [18, 22, 21], [23, 24]]
36: [[5], [1, 2], [13, 3, 10], [7, 11, 8], [9, 15, 14, 4, 6], [12, 16, 19], [20, 17, 18, 22], [21, 23], [24]]
37: [[4, 19], [5, 2, 13, 3, 10, 6, 1], [7, 11], [8, 9, 15, 14, 12, 16, 20, 17, 18, 22, 21, 23, 24]]
38: [[5], [1, 2, 13], [3, 10, 7, 11, 8, 9, 15, 6], [14, 12, 16, 4, 19], [20, 17, 18, 22, 21, 23, 24]]
39: [[5], [1, 2], [13, 3, 6], [10, 7], [11, 8], [9, 15], [14, 12, 16, 4], [20, 17, 19], [18, 22, 21, 23, 24]]
40: [[5, 19], [1, 2], [13, 3, 10], [7, 11, 8], [9, 15, 14, 4, 6], [12, 16, 20, 17, 18, 22, 21, 23, 24]]
41: [[4], [5, 1, 2, 13, 3, 10, 19, 6], [7, 11, 8, 9], [15, 14, 12, 16, 20, 17, 18, 22, 21, 23, 24]]
42: [[19], [6, 5, 1, 4, 3], [2, 13, 10, 7, 11, 8, 9, 15, 14, 12, 16, 20, 17], [18, 22, 21, 23], [24]]
43: [[19], [6, 5, 1, 4, 3], [2, 13, 10, 7, 11, 8, 9, 15, 14, 12, 16, 20, 17], [18, 22, 21, 23], [24]]
44: [[5], [1, 2, 13, 3, 10, 7], [11, 8], [9, 15, 6], [14, 12, 16, 20, 4, 19], [17, 18, 22, 21, 23, 24]]
45: [[19, 4], [5, 6], [1, 2], [13, 3, 10, 7, 11, 8, 9, 15, 14, 12, 16, 20, 17, 18, 22, 21, 23, 24]]
46: [[5, 1, 2, 4, 19], [13, 3, 6], [10, 7], [11, 8], [9, 15], [14, 12, 16, 20], [17, 18, 22, 21, 23, 24]]
47: [[4, 19], [6, 5], [1, 2, 13, 3, 10, 7, 11, 8, 9, 15, 14, 12, 16, 20, 17, 18, 22, 21, 23, 24]]
48: [[4, 19], [6, 5, 1], [2, 13, 3, 10, 7, 11, 8, 9, 15, 14, 12, 16, 20, 17, 18, 22, 21, 23, 24]]
49: [[4, 19, 6], [5, 1, 2, 13, 3, 10, 7], [11, 8, 9, 15, 14, 12, 16, 20, 17, 18, 22, 21, 23, 24]]
