0: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12], [17, 11, 16, 9, 13, 15, 14], [18, 19, 10], [20, 23, 22], [28, 24], [27, 21, 26]]
1: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12], [17, 11, 16, 9, 13, 15, 14], [18, 19, 10], [20, 23, 22], [28, 24], [27, 21, 26]]
2: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8], [10, 17, 11, 12, 9], [13, 15, 18], [16, 19, 14], [20, 23, 22], [28, 24], [27, 21, 26]]
3: [[25, 5], [29, 2, 1], [7, 4], [3, 6, 8], [12, 17], [11, 10], [9, 14, 15], [13, 18, 19], [16, 20, 23, 22], [28, 24], [21, 27, 26]]
4: [[25, 5], [29, 2], [1, 7, 4, 3, 6, 8, 12, 17, 11, 20, 9, 13, 15, 14, 16, 19, 10, 18, 23, 22], [28], [24, 27, 21, 26]]
5: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 10, 14], [16, 11, 13, 8, 9], [15, 18, 12], [17, 23, 19, 20, 28, 22], [24, 21, 26, 27]]
6: [[25, 5], [29, 2], [1, 7, 4, 3], [6, 8, 10, 17, 11, 12], [9, 13, 15, 18, 16, 19], [14, 20, 23, 22], [28, 24, 27, 21, 26]]
7: [[25, 5, 29], [2, 1, 7, 4, 3, 6, 8, 11, 17, 9, 16, 12, 15, 13, 10, 18, 14, 19, 22, 23, 20, 21, 24], [27, 28, 26]]
8: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12], [17, 11, 16, 9, 13, 15, 14], [18, 19, 10, 20, 23, 22, 28, 24, 27, 21, 26]]
9: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8], [10, 13, 11, 15, 12], [9, 19, 18, 14, 17], [16, 23, 20], [28, 22], [24, 21, 26, 27]]
10: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 11], [16, 9, 13, 10, 12], [15, 14, 19, 17, 23, 21], [20, 18, 22], [24, 28, 26, 27]]
11: [[25, 5], [29, 2, 1, 7, 4, 3, 6, 12, 8, 17, 10, 14, 11, 13, 9, 15, 16, 20, 26, 19], [18, 21, 22, 24, 23, 27, 28]]
12: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8, 12, 17, 11, 16, 9, 13, 15, 10, 14], [18, 19], [20, 23, 22, 28, 24, 27, 21], [26]]
13: [[25, 5], [29, 2, 1, 7, 4, 3, 6, 12, 22], [8], [16], [11, 18, 9], [15, 14], [13, 19, 17, 20, 23, 21, 28, 24, 10], [26, 27]]
14: [[25, 5], [29, 2], [1, 7, 4, 3, 6, 12, 17, 9, 16, 11, 15, 13, 18, 22, 23, 8, 10, 14], [20, 19, 21, 24, 27, 28, 26]]
15: [[25, 5], [29, 2, 1, 7], [4, 3, 14, 8, 6], [16, 9, 13, 10, 11], [15, 12, 18], [19, 17, 22], [20, 23], [24, 27, 21, 26], [28]]
16: [[25, 5], [29, 2, 1, 7], [4, 3], [14, 10, 12, 9], [19, 6], [8, 11, 15, 13, 18, 17, 16, 23, 22], [20, 28, 24, 21, 27, 26]]
17: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 10, 14], [16, 11, 13], [8, 9, 15], [17], [20, 19, 23, 18, 12, 22], [28, 24, 21, 26, 27]]
18: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12, 17, 11, 13, 9, 14, 10, 15], [18, 21, 19, 20, 23, 16, 24, 22, 27, 28, 26]]
19: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12, 17], [11, 16, 9, 15], [13, 10, 18], [22, 14], [19, 23], [20, 28, 24, 27, 21, 26]]
20: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12, 17, 11, 13, 9, 14, 10, 15], [18, 21, 19, 20, 23, 16, 24, 22, 27, 28, 26]]
21: [[25, 5], [29], [2, 1, 7, 4, 3, 6, 10, 8, 17, 11, 16, 9, 13, 15, 12, 18, 23, 14, 20, 19, 22, 28, 24, 27, 21, 26]]
22: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8, 10], [9, 18], [11, 13, 15], [14, 19, 16, 21, 12, 22, 17, 23], [20, 24, 26, 27, 28]]
