0: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
1: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
2: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
3: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
4: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
5: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
6: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
7: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
8: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
9: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
10: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
11: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
12: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
13: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
14: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
15: [[17, 19, 18, 20], [1, 14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
16: [[17, 19, 18, 20, 1], [14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
17: [[17, 19, 18, 20, 1], [14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
18: [[17, 19, 18, 20, 1], [14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
19: [[17, 19, 18, 20, 1], [14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
20: [[17, 19, 18, 20, 1], [14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
21: [[17, 19, 18, 20, 1], [14, 6, 15, 4], [3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
22: [[17, 19, 18, 20, 1], [14, 6, 15], [3, 4], [8, 10, 2, 5, 7, 16], [11, 13, 12, 9]]
23: [[17, 19, 18, 20, 1], [14, 6], [15, 4, 3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
24: [[17, 19, 18, 20, 1], [14, 6], [3, 8, 4, 15], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
25: [[17, 19, 18, 20, 1], [14, 6], [3, 8, 15, 4], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
26: [[17, 19, 18, 20, 1], [14, 6], [3, 8, 15, 4], [2, 10, 5, 7, 16], [11, 13, 12, 9]]
27: [[17, 19, 18, 20, 1], [14, 6], [3, 8, 15, 4], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
28: [[17, 19, 18, 20, 1], [14, 6, 15, 4], [3, 8, 10, 2, 5], [7, 16], [11, 13, 12, 9]]
29: [[17, 19, 18, 20], [1, 14, 6, 3, 8], [10, 15], [4, 2, 5, 7, 16], [11, 13, 12, 9]]
30: [[17, 19, 18, 20, 1], [14, 6], [15, 4, 3, 8, 10], [2, 5, 7, 16], [11, 13, 12, 9]]
31: [[17, 19, 18, 20, 1], [14, 6], [15, 4, 3, 8, 10], [2, 5, 7, 16], [11, 13, 12, 9]]
32: [[17, 19, 18, 20, 1], [14, 6], [15, 4, 3, 8, 10], [2, 5, 7, 16], [11, 13, 12, 9]]
33: [[17, 19, 18, 20, 1], [14, 6], [15, 4, 3, 8, 10], [2, 5, 7, 16], [11, 13, 12, 9]]
34: [[17, 19, 18, 20, 1], [14, 6, 3, 8], [2, 10, 5, 7, 16, 15, 4], [11, 13, 12], [9]]
35: [[17, 19], [18, 20, 1, 14], [6, 15, 4, 3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
36: [[17, 19], [18, 20, 1, 14], [6, 3, 8, 4, 15], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
37: [[17, 19], [18, 20, 1, 14], [6, 3, 8, 15, 4], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
38: [[17, 19], [18, 20, 1, 14, 6], [15, 4, 3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
39: [[17, 19], [18, 20, 1, 14, 6], [15, 4, 3, 8], [10, 2, 5, 7, 16], [11, 13, 12, 9]]
40: [[17, 19, 18, 20, 1], [14, 6], [15, 3, 5, 8], [10, 2, 4, 7, 16], [11, 13, 12, 9]]
41: [[17, 19, 18, 20, 1, 14], [6, 15], [4, 2, 8], [10, 3, 5, 7, 16], [11, 13, 12, 9]]
