0: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
1: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
2: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
3: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
4: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
5: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
6: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
7: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
8: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
9: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
10: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
11: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
12: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
13: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
14: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
15: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
16: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
17: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
18: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
19: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
20: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
21: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
22: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
23: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
24: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
25: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
26: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
27: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
28: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
29: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
30: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
31: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
32: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
33: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
34: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
35: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
36: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
37: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
38: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
39: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
40: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
41: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
42: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
43: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
44: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
45: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
46: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
47: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
48: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
49: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
50: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
51: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
52: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
53: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
54: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
55: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
56: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
57: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
58: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
59: [[17, 6, 7], [1, 2, 15, 14], [11, 3, 5, 10], [8, 4, 13, 12], [9, 18], [23, 16, 19, 22], [20, 25], [21, 26, 27], [28, 24, 29]]
