0: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13, 26, 15, 17, 19, 14], [24, 18], [29, 16], [21, 25, 27, 28], [31, 23, 30, 32, 34, 33], [35, 36]]
1: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11, 8], [9, 10, 13, 26], [15, 17], [19, 14], [24, 18], [29, 16], [21, 25, 27, 28], [31, 23, 30, 32, 34, 33], [35, 36]]
2: [[22, 37, 20, 1, 2, 7, 3, 12, 4], [6, 5], [11, 8], [9, 10], [13, 26, 15], [17, 19, 14], [24, 18], [29, 16], [21, 25, 27, 28], [31, 23, 30, 32, 34, 33], [35, 36]]
3: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11, 8], [9, 10, 13, 26], [15, 17], [19, 14], [24, 18], [29, 16], [21, 25, 27, 28], [31, 23, 30, 32, 34, 33], [35, 36]]
4: [[22, 37, 20, 1, 2], [7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13, 26, 15, 17, 19], [14, 24, 18], [29, 16], [21, 25, 27, 28], [31, 23, 30, 32, 34, 33], [35, 36]]
5: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13, 26, 15, 17, 19, 14], [24, 18], [29, 16], [21, 25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
6: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9, 10, 13, 26, 15, 17, 19, 14], [24, 18, 29, 16, 21, 25, 27, 28], [31, 23, 30, 32, 34, 33], [35], [36]]
7: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13, 26, 15, 17, 19, 14], [24, 18], [29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
8: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11, 8], [9, 10], [13, 26, 15, 17], [19, 14, 24, 18, 29, 16], [21, 25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
9: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11, 8, 9, 10, 13, 26, 15, 17, 19, 14], [24, 18, 29], [16, 21, 25, 27], [28, 31], [23, 30, 32, 34, 33, 35, 36]]
10: [[22, 37, 20], [1, 2, 7, 3], [12, 4, 6, 5], [11, 8, 9, 10], [13, 26, 15], [17], [19, 14], [24, 18], [29, 16], [21, 25], [27, 28, 31, 23, 30, 32, 34, 33], [35, 36]]
11: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13], [26, 15], [17, 19, 14], [24, 18], [29, 16], [21, 25], [27, 28, 31, 23, 30, 32], [34, 33], [35, 36]]
12: [[22, 37, 20, 1, 2, 7, 3, 12, 4], [6, 5, 11], [8, 9, 10, 13, 26, 15, 17, 19, 14], [24, 18, 29], [16, 21, 25, 27, 28, 31, 23, 30, 32], [34, 33], [35, 36]]
13: [[22, 37, 20, 1, 2, 7, 3], [12, 4], [6, 5, 11], [8, 9, 10], [13, 26, 15], [17, 19, 14], [24, 18, 29], [16, 21, 25], [27, 28, 31, 23, 30, 32, 34, 33], [35, 36]]
14: [[22, 37], [20, 1, 2], [7, 3], [12, 4, 6], [5, 11, 8], [9, 10, 13, 26], [15, 17, 19], [14, 24, 18, 29, 16], [21, 25, 27], [28, 31, 23, 30, 32, 34, 33, 35, 36]]
15: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11, 8], [9, 10], [13, 26, 15], [17, 19, 14, 24, 18, 29, 16, 21, 25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
16: [[22, 37, 20], [1, 2], [7, 3, 12], [4, 6, 5, 11, 8, 9, 10], [13, 26, 15], [17, 19, 14, 24, 18], [29, 16, 21], [25, 27, 28], [31, 23, 30, 32, 34], [33, 35], [36]]
17: [[22, 37], [20, 1, 2, 7, 3, 12], [4, 6, 5, 11, 8, 9], [10, 13, 26, 15], [17, 19, 14, 24, 18, 29], [16, 21, 25, 27, 28, 31], [23, 30, 32, 34], [33, 35, 36]]
18: [[22, 37, 20, 1, 2], [7, 3], [12, 4], [6, 5, 11, 8, 9, 10], [13, 26, 15, 17], [19, 14, 24, 18], [29, 16], [21, 25], [27, 28], [31, 23, 30, 32, 34, 33, 35, 36]]
19: [[22, 37, 20, 1, 2, 7, 3], [12, 4], [6, 5], [11], [8, 9, 10, 13], [26, 15, 17, 19, 14], [24, 18], [29, 16, 21], [25, 27, 28, 31], [23, 30, 32, 34, 33, 35, 36]]
20: [[22, 37, 20, 1, 2, 7, 3], [12, 4], [6, 5, 11], [8, 9, 10], [13, 26], [15, 17], [19, 14, 24, 18, 29, 16, 21], [25, 27, 28], [31, 23], [30, 32, 34], [33, 35, 36]]
21: [[22, 37], [20, 1, 2, 7, 3, 12], [4, 6], [5, 11, 8, 9, 10, 13, 26], [15, 17, 19, 14, 24, 18], [29, 16], [21, 25], [27, 28], [31, 23, 30, 32, 34, 33, 35, 36]]
22: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13, 26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
23: [[22, 37, 20], [1, 2, 7], [3, 12, 4], [6, 5], [11, 8], [9, 10], [13, 26, 15], [17, 19, 14], [24, 18, 29, 16, 21], [25, 27, 28], [31, 23, 30, 32], [34, 33, 35, 36]]
24: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9, 10, 13, 26, 15], [17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
25: [[22, 37, 20, 1, 2, 7, 3, 12], [4, 6, 5], [11, 8, 9], [10, 13, 26, 15, 17, 19, 14, 24, 18], [29, 16, 21, 25, 27, 28, 31, 23], [30, 32, 34, 33, 35, 36]]
26: [[22, 37, 20, 1, 2, 7, 3, 12, 4], [6, 5, 11], [8, 9, 10], [13, 26, 15], [17, 19, 14], [24, 18, 29, 16, 21, 25, 27, 28, 31, 23], [30, 32, 34, 33, 35, 36]]
27: [[22, 37, 20, 1, 2, 7], [3, 12, 4], [6, 5, 11], [8, 9, 10, 13, 26], [15, 17, 19, 14, 24, 18, 29, 16, 21], [25, 27, 28, 31], [23, 30, 32, 34, 33, 35, 36]]
28: [[22, 37, 20], [1, 2, 7], [3, 12, 4], [6, 5], [11, 8, 9, 10], [13, 26, 15, 17, 19, 14], [24, 18], [29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
29: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6, 5, 11, 8, 9, 10, 13], [26, 15], [17, 19, 14], [24, 18, 29], [16, 21, 25], [27, 28], [31], [23, 30, 32, 34, 33, 35, 36]]
30: [[22, 37, 20, 1, 2], [7, 3, 12, 4, 6], [5, 11, 8, 9, 10, 13], [26, 15], [17, 19, 14, 24, 18, 29, 16], [21, 25, 27, 28, 31, 23, 30, 32, 34, 33], [35, 36]]
31: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11, 8], [9, 10, 13, 26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
32: [[22, 37], [20, 1, 2], [7, 3], [12, 4, 6], [5, 11, 8], [9, 10, 13, 26], [15, 17, 19], [14, 24, 18, 29, 16], [21, 25, 27, 28, 31, 23, 30], [32, 34, 33], [35, 36]]
33: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13], [26, 15, 17, 19, 14, 24], [18, 29], [16, 21, 25, 27, 28, 31, 23], [30, 32, 34, 33, 35, 36]]
34: [[22, 37], [20, 1, 2, 7, 3], [12, 4, 6, 5], [11, 8, 9], [10, 13, 26, 15], [17, 19, 14, 24], [18, 29, 16], [21, 25, 27, 28, 31, 23], [30, 32], [34, 33, 35, 36]]
35: [[22, 37, 20], [1, 2, 7], [3, 12, 4, 6], [5, 11, 8, 9, 10, 13, 26], [15, 17, 19, 14], [24, 18, 29, 16], [21, 25], [27, 28, 31, 23], [30, 32, 34, 33, 35, 36]]
36: [[22, 37, 20, 1, 2], [7, 3, 12], [4, 6, 5], [11, 8, 9], [10, 13, 26, 15, 17], [19, 14, 24], [18, 29], [16, 21], [25, 27, 28], [31, 23], [30, 32, 34, 33], [35, 36]]
37: [[22, 37, 20, 1, 2, 7, 3, 12], [4, 6], [5, 11, 8, 9, 10, 13, 26, 15, 17], [19, 14, 24], [18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33], [35, 36]]
