0: [[5, 12, 1, 2, 3], [4, 10], [6, 8, 11, 9], [7, 13]]
1: [[5, 12, 1, 2, 3], [4, 10], [6, 8, 11, 9], [7, 13]]
2: [[5, 12, 3, 1, 2], [4, 10, 6, 8], [11, 9], [7, 13]]
3: [[5, 12, 3], [1, 2], [4, 10], [6, 8, 11, 9], [7, 13]]
4: [[5, 12, 3], [1, 10, 2, 4], [6, 8], [11, 9, 13, 7]]
5: [[5, 12], [3, 1], [10, 8, 2, 4], [11, 9, 6], [13, 7]]
6: [[5, 12, 3], [1, 2], [4, 10], [6, 8], [11, 9], [7, 13]]
7: [[5, 12, 3], [1, 2], [4, 10], [6, 8], [11, 9], [7, 13]]
8: [[5, 12, 3], [1, 2], [4, 10], [6, 8], [11, 9], [7, 13]]
9: [[5, 12, 3], [1, 2], [4, 10], [6, 8], [11, 9], [7, 13]]
10: [[5, 12, 3], [1, 2], [4, 10], [6, 8], [11, 9], [7, 13]]
11: [[5, 12, 3], [1, 2], [4, 10], [6, 8], [11, 9, 7, 13]]
12: [[5, 12, 3], [1, 2], [4, 10, 6, 8], [11, 9], [7, 13]]
13: [[5, 12, 3], [1, 2], [10, 6, 8, 4], [11, 9, 13, 7]]
14: [[5, 12, 3], [1, 2], [4, 10], [6, 8, 11, 9, 7, 13]]
15: [[5, 12], [3, 1, 2], [4, 10], [6, 8], [11, 9, 7, 13]]
16: [[5, 12, 3], [1, 2], [4, 10, 6], [8, 11, 9], [7, 13]]
17: [[5, 12, 3], [1, 2], [4, 10, 6], [8, 9, 11], [7, 13]]
18: [[5, 12], [3, 1], [10, 6, 2, 4], [8, 11, 9, 13, 7]]
19: [[5, 12, 3], [1, 2], [10, 6, 4], [8, 11], [9, 13, 7]]
20: [[5, 12, 3], [1, 10, 6, 2, 4], [8], [11, 13, 9, 7]]
21: [[5, 12], [3, 1], [2, 4, 10, 6, 8, 11, 9, 7, 13]]
22: [[5, 12], [3, 1, 2, 4, 10, 6, 8, 11, 9], [7, 13]]
23: [[5, 12, 2, 3], [1], [4], [10, 6, 8, 11, 9], [13, 7]]
24: [[5, 12], [3, 1], [10, 2, 4], [9, 7], [8, 11, 6, 13]]
25: [[5, 12, 3], [1, 2], [4, 10, 6, 8, 11, 9, 7, 13]]
26: [[5], [12, 3, 1, 2, 4, 10, 6, 8, 11, 9, 7], [13]]
27: [[5], [12, 3, 1, 2, 4, 10, 6, 8, 9, 11, 7], [13]]
