0: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
1: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
2: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
3: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
4: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
5: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
6: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
7: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
8: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
9: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
10: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
11: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
