0: [[20, 14, 55, 41, 19, 26, 34], [1, 53, 3, 52, 31, 51], [9, 8, 15], [25, 59, 6, 21], [47, 35, 46, 48, 2], [16, 28, 22, 44, 54, 18], [40, 58, 33, 13, 23, 7], [4, 29, 57, 30, 36, 50, 10], [37, 38, 32, 39, 17], [49, 12, 24, 45], [27, 42, 43, 11], [5, 56, 60]]
1: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 17, 24, 16, 23, 21, 28, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
2: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 23, 16, 17, 21, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
3: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
4: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
5: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 15, 13, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
6: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 15, 13, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
7: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
8: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 21, 16, 17, 23, 24, 28, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
9: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 15, 13, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
10: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 23, 10, 13, 6, 15, 21, 24, 17, 16, 28, 31, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
11: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
12: [[35, 33, 7, 9, 2, 1, 5, 3, 20, 12, 4, 27, 14, 8, 19], [11, 26, 18, 6, 10, 31, 13, 15, 21, 16, 17, 23, 28, 24, 30], [22, 29, 25, 42, 36, 32, 34, 38, 37, 45, 39, 44, 40, 43, 41], [46, 47, 57, 48, 52, 50, 53, 51, 49, 54, 55, 58, 56, 59, 60]]
