0: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 23, 12, 22], [16, 19, 18, 14], [21, 27, 26], [28, 24], [20, 25], [29]]
1: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 23, 12, 22], [16, 19, 18, 14], [21, 27, 26], [28, 24], [20, 25], [29]]
2: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 14], [9, 13, 22, 12, 20], [16, 29, 18, 10], [21, 27, 26], [19, 24, 23, 25, 28]]
3: [[17, 7, 6, 2], [1, 15, 3], [4, 13, 8, 12], [11, 10], [9, 5], [23, 22], [18, 16, 19, 14], [21, 27, 26], [28], [24, 20, 25, 29]]
4: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 22], [12, 20], [16, 19, 18, 14], [21, 27, 26], [24, 23], [29, 25, 28]]
5: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 5, 11], [10, 13, 9], [18, 12, 14, 16, 19, 20, 22], [21, 27, 26, 28], [29], [23, 25, 24]]
6: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 18], [12, 14, 16], [19, 22], [21, 27, 26, 20], [25, 28, 23], [24, 29]]
7: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 18], [12, 14, 16], [19, 22], [21, 27, 26, 20], [25, 28, 23], [24, 29]]
8: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 18], [12, 14, 16], [19, 22], [21, 27, 26, 20], [25, 28, 23], [24, 29]]
9: [[17, 7, 6, 2], [1, 15], [3, 4, 8, 5, 11, 10, 9, 13, 22, 12, 20, 18, 19, 16], [14, 21, 27, 26, 28, 29, 23, 25, 24]]
10: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 9], [12, 13, 23, 14, 22], [16, 18, 19, 10], [20, 27, 26], [28, 24, 21, 25, 29]]
11: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 13], [11, 10, 9, 5, 22, 12, 14, 16, 19, 18, 20, 25, 23], [26], [28, 24, 27, 21, 29]]
12: [[17, 7], [6, 2, 1], [15, 3, 4], [8, 5], [11, 14, 9], [13, 18], [12, 22, 16], [23, 19, 10], [21, 27, 26, 28], [24, 20, 25, 29]]
13: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 22], [12, 20, 18], [19, 16], [14, 21], [27], [26, 28, 23, 24, 25, 29]]
14: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 13], [5, 10, 11, 9], [23, 12, 22], [16, 14, 18], [19, 21, 27], [26, 24, 29, 20, 25, 28]]
15: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 18], [12, 14, 28], [19, 16, 20], [21, 27, 29], [22, 26, 23, 25, 24]]
16: [[17, 7, 6], [2, 1, 15], [3, 4], [8, 13, 11], [10, 5, 9], [20, 12, 22], [14, 18], [19, 16], [21, 27, 26, 28, 25, 23, 29, 24]]
17: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 10], [9, 12, 23, 13, 21], [18, 14, 16, 19], [22, 27, 26], [28, 24], [20], [25, 29]]
18: [[17, 7, 6], [2, 1, 15], [3, 4], [8], [5, 11, 9, 10, 13, 20, 12, 14], [16, 18, 23, 19], [22, 24], [21, 27, 26, 28, 25, 29]]
19: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 13], [11, 9, 5, 10, 22, 12, 23, 14, 19, 16, 18, 27, 25], [24, 26, 29, 28, 21, 20]]
20: [[17, 7, 6], [2, 1], [15, 3, 4], [8, 5, 11], [9, 10, 13], [22, 12], [14, 16, 23], [19, 18, 21], [27, 26, 24], [25, 20], [29, 28]]
21: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [13, 5, 10], [11, 9, 23], [12, 20, 22, 14, 18, 16], [19, 27, 26, 28, 21, 24, 25, 29]]
22: [[17, 7, 6, 2], [1, 15], [3, 4, 8, 5], [11, 10, 9], [13, 23, 12, 20], [22, 19, 18], [14, 16], [27, 26, 28], [21, 24, 25, 29]]
23: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 9, 10], [13, 23, 14], [12, 18, 19], [21, 16], [22, 27, 26], [24, 28, 20, 25, 29]]
24: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10], [9, 13], [18], [12, 14, 16, 20, 19, 22, 21, 27, 26, 24, 23, 28, 25, 29]]
25: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 9, 13], [18, 16, 20, 23, 21, 10, 12, 22], [27, 26, 19, 25, 28, 24, 29, 14]]
26: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5], [11, 10, 9, 13, 22, 12, 14, 16, 20, 23, 18, 21, 27, 26, 24, 29, 19, 25, 28]]
27: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [13, 5, 10], [11, 9], [23, 12], [22], [16, 14, 18, 19, 21, 27, 26, 24, 28, 20, 25, 29]]
28: [[17, 7, 6], [2, 1, 15], [3, 4], [8, 5, 11], [10, 9, 13, 22], [12, 14, 16, 19], [23, 18, 21], [27, 26, 24], [29, 20, 25, 28]]
29: [[17, 7, 6, 2], [1, 15, 3, 4, 8, 5, 11, 9, 13, 22, 12], [16, 29, 18, 20, 19, 27, 10, 14], [21, 23, 24, 26], [25, 28]]
30: [[17, 7, 6, 2], [1, 15], [3, 4, 8, 13], [10, 9, 5], [11, 22], [12, 16, 14, 19, 21, 18, 27, 20, 24, 23, 28, 25, 26, 29]]
31: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10, 9], [13, 23, 20], [14, 12, 16], [19, 22], [18, 27, 26], [24, 28], [21, 25], [29]]
32: [[17, 7, 6, 2], [1, 15, 3], [4, 8, 13], [11, 10, 5, 9, 28], [12, 23, 14, 19, 16, 18, 21, 27, 26, 20, 24, 29, 25, 22]]
