0: [[53, 7, 51, 35, 25, 2], [15, 58, 13, 33, 46, 1, 3, 6, 21], [38, 4, 12, 5], [9, 8, 11, 10, 18], [29, 16, 56], [14, 20, 22, 26, 27, 32, 17, 19, 28, 54], [30, 23], [31, 40, 45, 24, 43], [36, 47, 34, 37, 44, 50], [42, 39, 41, 48, 52], [49, 57, 55, 59, 60]]
1: [[52, 7, 51, 3, 25], [9, 58, 13, 5, 15, 1, 8, 27, 6, 21], [12, 29, 4, 11, 10], [16, 19, 26, 18], [31, 17, 28], [14, 20, 22, 23, 40, 24, 30, 32, 54], [45, 33], [34, 42, 36, 37, 43], [41, 47, 38, 50, 44, 46], [48, 39, 35, 53, 55, 2], [56, 57, 49, 59, 60]]
2: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 8, 9, 12, 11, 31, 22, 19, 16, 17, 15, 23, 18, 26, 24, 28, 30, 10, 21, 6], [25, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
3: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 12, 9, 31, 8, 11, 26, 30, 15, 18, 16, 17, 22, 28, 19, 23, 24, 10, 21, 6], [25, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
4: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 10, 8, 11, 6, 31, 28, 9, 19, 16, 12, 18, 15, 17, 21, 23, 24, 22, 26, 30], [29, 25, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
5: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 10, 9, 6, 11, 8, 15, 12, 31, 16, 19, 30, 21, 18, 17, 22, 26, 24, 23, 28], [25, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
6: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 12, 6, 10, 9, 8, 15, 11, 31, 16, 17, 22, 18, 19, 21, 25, 23, 24, 30, 28], [26, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
7: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 6, 8, 9, 28, 10, 15, 11, 12, 18, 16, 17, 21, 22, 19, 23, 24, 31, 25, 30], [29, 26, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
8: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 10, 9, 6, 15, 8, 11, 12, 30, 16, 23, 31, 17, 18, 19, 22, 24, 21, 25, 28], [26, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
9: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 10, 9, 6, 15, 11, 12, 8, 30, 16, 17, 18, 28, 19, 21, 22, 31, 24, 23, 25], [29, 26, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
10: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 6, 8, 9, 11, 30, 31, 12, 10, 28, 23, 18, 16, 17, 15, 22, 25, 19, 21, 24], [26, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
11: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 8, 11, 15, 6, 9, 25, 30, 12, 28, 17, 10, 24, 16, 22, 18, 19, 21, 23, 31], [26, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
12: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 10, 9, 6, 15, 8, 11, 12, 30, 16, 23, 31, 17, 18, 19, 22, 24, 21, 25, 28], [26, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [46, 47, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
13: [[20, 7, 35, 3, 27, 2, 1, 14, 4], [13, 5, 39, 8, 10, 6, 15, 11, 12, 9, 30, 28, 19, 31, 17, 16, 18, 22, 24, 23, 21, 25], [26, 29, 32, 33, 36, 38, 37, 40, 34, 42, 41, 43, 44, 45], [47, 46, 50, 52, 49, 48, 55, 51, 53, 54, 58, 57, 56, 59, 60]]
