0: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [13, 11, 15, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
1: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
2: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [15, 11, 14, 13], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
3: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [13, 11, 15, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
4: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
5: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [14, 11, 13, 15], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
6: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [15, 11, 14, 13], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
7: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
8: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [13, 11, 15, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
9: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [13, 11, 15, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
10: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
11: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [13, 11, 14, 15], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
12: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
13: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
14: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
15: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
16: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12, 15], [11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
17: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12, 15], [11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
18: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12, 15], [11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
19: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 15], [13, 11, 12, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
20: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 15], [14, 11, 13, 12], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
21: [[3, 5, 6], [10, 1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
22: [[3, 5, 6], [1, 2, 19, 10], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
23: [[3, 5, 6], [10, 1, 2, 19], [7, 4, 8, 12], [13, 11, 14, 15], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
24: [[3, 5, 6], [10, 1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
25: [[3, 5, 6], [10, 1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
26: [[3, 5, 6], [10, 1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
27: [[3, 5, 6], [10, 1, 2, 19], [7, 4, 8, 12], [15, 11, 13, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
28: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
29: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 14, 13], [11, 9, 12], [15, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
