0: [[4, 6, 10, 9], [2, 1, 13], [3, 5], [7, 8, 11, 12]]
1: [[4, 6, 10, 9, 2], [1, 13], [3, 5], [7, 8, 11, 12]]
2: [[4, 6, 10, 9], [2, 1, 13, 3, 5, 7], [8, 11, 12]]
3: [[4, 6, 10], [9, 2], [1, 13, 3, 5], [7, 8, 11, 12]]
4: [[4, 6], [10, 9, 2], [1, 13, 3, 5], [7, 8, 11, 12]]
5: [[4, 6], [10, 9, 2], [1, 13, 3, 5], [7, 8, 11, 12]]
6: [[4, 6, 10, 9], [2, 1, 13], [3, 5, 7, 8, 11, 12]]
7: [[4, 6, 10, 9], [2, 1, 13], [3, 5, 7, 8, 11, 12]]
8: [[4, 6, 10, 9], [2, 1, 13], [3, 5, 7, 8, 11, 12]]
9: [[4, 6, 10, 9], [2, 1, 13], [3, 5, 7], [8, 11, 12]]
10: [[4, 6], [10, 9], [2, 1, 13], [3, 5], [7, 8, 11, 12]]
11: [[4, 6], [10, 9], [2, 1, 13], [3, 5], [7, 8, 11, 12]]
12: [[4, 6], [10, 9, 2], [1, 13, 3, 5], [7, 8, 11], [12]]
13: [[4, 6], [10, 9, 2, 1], [13, 3, 5], [7, 8, 11], [12]]
14: [[4, 6, 10], [9, 2, 1, 13], [3, 5], [7, 8], [11, 12]]
15: [[4, 6, 10], [9, 2], [1, 13, 3], [5, 7, 8, 11, 12]]
16: [[4, 6], [10, 9, 2], [1, 13, 3], [5, 7, 8, 11, 12]]
17: [[4, 6], [10, 9], [2, 1, 13, 3], [5], [7, 8, 11, 12]]
18: [[4, 6, 10, 9, 2], [1, 13, 3, 5, 7, 8], [11, 12]]
19: [[4, 6], [10, 9, 2, 1, 13], [3, 5, 7, 8, 11], [12]]
20: [[4, 6], [10, 9], [2, 1, 13, 3], [5, 7, 8, 11, 12]]
21: [[4, 6, 10, 9], [2, 1], [13, 3], [5, 7, 8, 11], [12]]
22: [[4, 6, 10], [9, 2, 1], [13, 3, 5], [7, 8], [11, 12]]
23: [[4], [6, 10, 9, 2, 1, 13, 3, 5, 7, 8, 11], [12]]
24: [[4, 6], [10, 9], [2, 1, 13], [3, 5, 7], [8, 11, 12]]
25: [[4, 6], [10, 9], [2, 1], [13, 3, 5, 7], [8, 11, 12]]
26: [[4, 6], [10, 9, 2, 1, 13, 3, 5, 7, 8], [11, 12]]
27: [[4, 6], [10, 9, 2, 1, 13, 3, 5, 7, 8], [11, 12]]
