0: [[2, 35, 7], [1, 3, 4], [30, 13, 21, 5, 6], [9, 14], [11, 24, 10, 15, 12, 8, 16, 18, 23, 17, 31], [19, 20, 25], [22, 26, 28, 27], [29, 40, 32, 38, 37], [33, 39, 34, 42, 41, 36, 45, 43, 44, 47, 46], [51, 55, 48, 52, 53, 54, 58, 50, 56, 59], [57, 49, 60]]
1: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 14, 11], [12, 10, 15, 20], [8, 16, 18, 23], [22, 27, 19, 17, 25, 31, 26, 28], [24, 29, 40, 32], [38, 37, 33, 39, 42, 34], [41, 36], [45, 44, 43], [47, 46, 51, 55], [52, 50, 53, 48, 58], [56, 54, 59], [57, 49, 60]]
2: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 6], [5, 9], [8, 26, 10, 11, 16], [15, 12, 14, 17, 31, 19, 20, 25, 18, 24, 27, 22, 23, 29, 28, 40, 41, 32, 33, 36, 39, 34, 38, 42, 37, 46, 45, 47, 44, 43, 51, 56, 52, 48], [53, 49, 54, 50, 57], [59, 58, 55, 60]]
3: [[2, 35, 7, 5], [3, 4, 30], [13, 21, 1, 6], [9, 15, 8, 27, 10, 11, 14, 18, 22, 16, 12, 19, 23, 17], [24, 29, 20, 25, 26, 28, 31, 40, 45, 36, 34, 32, 37, 33, 47, 38, 39, 42, 41, 44, 43, 46, 51], [56, 54, 52, 48, 53, 59, 50, 49, 57, 55, 60, 58]]
4: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [8, 12, 9, 11], [10, 15, 17, 14, 19, 25, 18, 22, 20], [23, 26, 27, 16], [24, 29, 28, 31, 40, 33, 32, 34, 38, 39, 37, 42, 43, 41, 36, 46, 47, 44, 45, 51, 55, 52, 48, 53, 50, 54, 58], [57, 60, 56, 49, 59]]
5: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 10, 6], [11, 9, 28, 8], [16, 12, 15, 14, 22, 17, 19, 20, 24, 18, 23, 25, 29, 26, 27, 31, 40, 33, 38, 37], [34, 32, 39], [36, 43, 47], [44, 45, 46, 41, 42, 51, 56, 54, 55, 53, 50], [59, 49, 57, 60, 48, 52, 58]]
6: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6, 8, 10, 11, 28], [12, 15, 9], [14, 16, 18, 23], [19, 17, 22, 20, 25], [26, 24, 27, 31, 29, 40, 32, 38, 37, 33, 39], [36, 41, 34, 42, 45, 43, 44, 47, 46, 55], [57, 52, 49], [51, 48, 58, 50, 56, 53, 54, 59, 60]]
7: [[2, 35, 7], [1, 3, 4], [30, 13, 5, 21, 6], [9, 15, 18, 10], [11, 24], [14, 12, 8, 16], [23, 17, 31, 27], [20, 22, 19, 26, 28, 25, 29, 44, 33, 32, 37], [36, 39, 34, 42, 38, 45, 41, 40, 43, 47, 46, 51, 55, 50], [49, 52, 54, 53, 48, 57, 59, 56, 58, 60]]
8: [[2, 35, 7], [1, 3, 4, 30, 13, 21, 5, 6, 8, 11], [9, 28, 10, 19, 18, 22, 17, 15, 16, 12], [20, 24, 14, 31, 25, 23, 26, 27, 29, 40, 37, 32, 33, 34, 41, 39, 36, 38, 46, 44], [45, 43, 42], [47, 51, 55], [49, 48, 53, 50, 58, 56, 57, 54], [52, 59, 60]]
9: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 8, 10, 12, 11, 15, 14], [28, 18, 17, 19, 22, 16], [27, 24, 23], [26, 20, 25, 29, 31, 40, 38, 36, 34, 32], [33, 37, 46, 39, 43, 41, 44, 47, 50, 45, 51, 48, 58], [52, 53, 42, 55, 54, 49, 60, 59, 57, 56]]
10: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6, 9], [15, 8, 24, 10, 11, 14, 12, 16, 18, 19, 17, 20, 22, 25, 26, 23], [27, 31, 29, 28, 42, 33, 36, 34, 32, 38, 45, 44, 39, 41, 37, 40], [43, 46, 47, 55, 54, 52, 50, 48, 49, 58, 53, 57, 59, 60, 51, 56]]
11: [[2, 35, 7], [1, 3, 4], [30, 13, 21, 5, 6], [9, 14], [11, 24, 10, 15, 12, 8, 16, 18, 23, 17, 28], [19, 20, 25], [22, 26, 31, 27], [29, 40, 32, 37, 34], [33, 39, 38], [42, 41, 36, 43], [44, 47, 46, 45, 51, 55, 48, 52, 53, 54, 58, 50, 56, 59, 57, 49, 60]]
12: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 9, 6], [11, 5, 14, 10, 8, 12, 15, 18], [19, 16], [27, 20, 22, 17], [24, 25, 23, 26, 28, 29, 31, 40, 45, 32, 34, 36, 37, 33], [47, 39, 38, 42, 41, 43, 44, 46, 51], [55, 53, 52, 48, 49, 59, 57, 60, 50, 56, 54, 58]]
13: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 5, 6], [9, 11, 8, 26, 14, 15, 12, 18, 23, 17, 10, 16, 22, 19], [24, 25, 20, 28, 27, 29, 31], [40, 41, 36, 33, 37, 39, 32, 42, 34], [38, 43, 45, 44, 46, 47, 49, 55, 53, 52, 48, 50, 59, 51, 54, 56, 57, 58, 60]]
14: [[2, 35, 7, 1, 3], [4, 30, 13, 21], [6, 5, 9, 14], [11, 8, 10, 18, 16, 12, 15, 17], [31, 19, 20], [23, 22, 25, 28], [24, 29, 26, 27], [40, 33, 36, 46, 34, 37], [32, 39, 45, 38, 41, 42, 44], [43, 47, 51, 52, 54, 50, 49, 48, 55, 53, 57, 58, 56, 60, 59]]
15: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 8, 11, 10, 14, 12, 15, 18, 23], [16, 22, 19, 17], [20, 27, 25, 26, 24], [31, 28, 29], [40, 37], [38, 32, 33], [34, 42, 39, 43, 41], [46, 44, 36, 47], [45, 51, 52, 56], [48, 53, 55, 49, 54, 50, 58, 57, 59, 60]]
16: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 12, 11, 10], [14, 15, 8, 16], [23, 22, 19, 18, 17, 20, 27, 31, 26, 24, 28, 25, 29, 40, 32, 38, 33, 34, 37, 42, 39, 43, 47, 46, 41, 36, 45, 44, 51, 52, 48, 49, 50, 55, 53, 54, 58, 57, 56, 59, 60]]
17: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 6, 5], [8, 11, 9, 12, 14, 19, 10, 15], [16, 26, 25], [17, 20, 24, 18, 23, 22, 27, 28, 29, 31, 40], [33, 32, 38, 37, 39, 44, 34], [47, 45], [36, 42, 41, 43, 46, 51, 56], [52, 54, 48, 50, 53, 49, 57, 60, 58, 55, 59]]
18: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6], [9, 14, 11, 24, 12, 15, 28], [8, 10, 18, 20, 23, 17, 19], [22, 25, 16, 26], [29, 27, 31, 40, 34], [38, 37, 33], [39, 32, 46, 45, 41], [36, 43], [44, 47, 42], [51, 55, 48, 52], [53, 54, 58, 50, 56], [59, 57, 49, 60]]
19: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 5, 6, 9], [11, 10, 27, 8, 14, 16, 15, 31, 19, 12, 23, 22], [18, 26, 25, 28], [17, 20, 24, 29], [46, 41, 32, 34], [36, 33, 38, 37], [44, 43, 39, 40, 45, 42, 47, 48, 51, 53, 52, 50], [54, 49, 55, 59, 56, 60, 57, 58]]
20: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6, 10], [8, 9, 24, 14], [15, 11, 12, 19, 18, 23, 16, 20, 22, 25, 26, 17, 27, 31, 28, 29, 40, 33, 36], [34, 32, 38, 45, 44, 39, 41, 37, 47, 43, 42, 46, 55, 48, 54], [50, 51, 49, 53, 52, 57, 58, 60, 59, 56]]
21: [[2, 35, 7], [1, 3, 4, 30], [13, 5, 9, 21, 6], [14, 11], [12, 15, 17, 8, 18, 10], [31, 23, 16, 20, 19, 28, 25, 22, 26, 24, 27, 29, 38, 32, 37, 34, 33, 39, 36, 41, 45, 42, 40, 44, 47, 46, 43, 50, 55, 51, 49, 53, 48, 52, 59, 54, 56, 57, 58, 60]]
22: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6, 9], [14, 8, 27], [10, 12, 24, 11, 31], [18, 23, 15, 19], [20, 17, 16, 26], [25, 28, 22], [29, 40, 33, 38, 32, 34, 37, 36, 45, 41, 42, 39, 43, 44, 47, 46, 51, 52, 53, 48, 49, 54, 56, 50, 58, 59, 57, 55, 60]]
23: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 15, 8, 12], [10, 11, 14, 18, 17, 19, 27, 16], [20, 24, 22], [25, 23, 26, 31, 28, 29, 40, 33, 37, 38], [32, 34, 44, 42, 41, 45, 36], [39, 43], [46, 47, 55, 54, 53, 50, 48], [49, 58, 52, 51, 59, 60, 56, 57]]
24: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 5, 6], [9, 11, 10, 26, 8, 15, 12, 18, 22, 17, 14, 16, 23, 20, 24, 25, 19], [27, 28, 29, 31, 42, 33, 36, 34, 32, 45, 37, 46, 47, 39, 38, 40, 41, 44, 43, 49, 50, 54, 52, 48, 51, 53, 55, 57, 59, 60, 56, 58]]
25: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6, 8], [11, 15, 28, 10], [19, 9, 23], [16, 12, 17, 14, 22, 20, 26, 31, 18, 24, 29, 25, 27, 40, 37, 32, 38, 33, 39, 34], [36, 41, 46], [44, 45, 47], [42, 43, 51, 57, 54, 48, 49, 50, 58, 52, 55], [53, 60, 56, 59]]
26: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6], [8, 14, 11, 10, 12, 15, 17, 9, 23, 18, 19, 16, 22, 20, 26, 25, 29, 24, 31, 28, 27, 32, 41], [37, 38, 33, 39, 43, 34, 47], [36, 42, 44, 40, 46, 45, 51, 55], [49, 52, 50, 48, 57, 53, 54, 56, 58, 60, 59]]
27: [[2, 35, 7, 1, 3], [4, 30, 13, 21, 6, 5], [8, 11, 9, 26, 14, 15, 10, 12, 19, 16, 22, 20, 17, 18, 31, 29, 23, 27, 28, 25], [24, 42, 32, 33, 36, 34, 39, 38], [41, 47, 45, 37, 44, 40, 46, 43, 51], [48, 52, 50, 49, 53, 56, 58, 55, 57, 54, 59, 60]]
