0: [[3, 2, 9, 6, 13, 8, 1, 5], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
1: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
2: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
3: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
4: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
5: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
6: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
7: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
8: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
9: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
10: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
11: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
12: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
13: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
14: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
15: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
16: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
17: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
18: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
19: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
20: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
21: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
22: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
23: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
24: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
25: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
26: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
27: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
28: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 12], [19, 15, 20, 18, 17], [21, 23, 24]]
29: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 12], [19, 15, 20, 18, 17], [21, 23, 24]]
30: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 12], [19, 15, 20, 18, 17], [21, 23, 24]]
31: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 12], [19, 15, 20, 18, 17], [21, 23, 24]]
