0: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15, 16], [1, 3], [11, 12], [13, 17, 6, 4, 9]]
1: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
2: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
3: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
4: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
5: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
6: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
7: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
8: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
9: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
10: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
11: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
12: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
13: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
14: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
15: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
16: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
17: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
18: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
19: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
20: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
21: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
22: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
23: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
24: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
25: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
26: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
27: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
28: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
29: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
30: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
31: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
32: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
33: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
34: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
35: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
36: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
37: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
38: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
39: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
40: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 6], [13, 12, 17, 4, 9]]
41: [[7, 8, 10, 2, 5], [14, 18, 20, 19, 15], [16, 1, 3, 11, 12], [13, 17, 6, 4, 9]]
