It No., Best MQ, No clusters, max clus, min clus
1,1.3634685314685315,3,13,12
2,1.4180105879074951,3,13,12
3,1.413556920170052,3,13,12
4,1.380690763052209,3,13,12
5,1.42198642742121,3,13,12
6,1.4322608311786593,3,13,12
7,1.413438123450819,3,13,12
8,1.3485163485163485,3,13,12
9,1.4620231756968367,3,13,12
10,1.3710187353629977,3,13,12
11,1.3905376985872993,3,13,12
12,1.4615044035553129,3,13,12
13,1.865680817781658,10,4,3
14,1.3830872580107223,3,13,12
15,1.736114958645669,13,3,2
16,1.6151724768928666,9,5,4
17,1.3597356163839913,3,13,12
18,1.4264217314122387,4,10,9
19,1.627130776118776,7,6,5
20,1.3614279282898503,3,13,12
21,1.3791530921121467,3,13,12
22,1.4170752235268365,3,13,12
23,1.436021505376344,3,13,12
24,1.4361811631497683,3,13,12
25,1.4162414429666002,7,6,5
26,1.3012576091638186,3,13,12
27,1.5,3,13,12
28,1.3745146593183022,3,13,12
29,1.3665634094810035,3,13,12
30,1.3706048906048904,3,13,12
31,1.5435534960559751,4,10,9
