0: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12, 6], [9, 8, 15], [10, 14, 19], [17, 18, 20], [22], [23, 21, 24]]
1: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14, 19], [17, 18, 20], [22], [23, 21, 24]]
2: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14, 19], [17, 18, 20, 22], [23, 21, 24]]
3: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17, 18], [20, 22], [23, 21, 24]]
4: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17, 18], [20, 22], [23, 21, 24]]
5: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12, 6], [9, 8, 15], [10, 14, 19], [17, 18], [20, 22], [23, 21, 24]]
6: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14, 19], [17, 18], [20, 22], [23, 21, 24]]
7: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17], [18, 20], [22], [23, 21, 24]]
8: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17], [18, 20, 22], [23, 21, 24]]
9: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9, 8, 15, 10, 14, 19, 17, 18, 20, 22], [23, 21, 24]]
10: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17], [18, 20], [22], [23, 21, 24]]
11: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17], [18, 20], [22], [23, 21, 24]]
12: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17], [18, 20, 22], [23, 21, 24]]
13: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17], [18, 20], [22, 23, 21, 24]]
14: [[16, 3], [11, 7], [5, 4], [2, 1], [13], [12, 6], [9, 8, 15], [10, 14], [19, 17], [18, 20, 22], [23, 21, 24]]
15: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9, 8, 15, 10], [14, 19, 17], [18, 20], [22], [23, 21, 24]]
16: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15, 10], [14, 19], [17, 18, 20], [22], [23, 21, 24]]
17: [[16, 3], [11, 7], [5, 4], [2, 1, 13, 12, 6, 9, 8, 15, 10, 14, 19], [17, 18, 20], [22, 23, 21, 24]]
18: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9, 8], [15, 10, 14], [19, 17], [18, 20, 22], [23, 21, 24]]
19: [[16, 3], [11, 7], [5, 4], [2, 1, 13, 12], [6, 9], [8, 15, 10], [14, 19, 17], [18, 20], [22], [23, 21, 24]]
20: [[16, 3], [11, 7], [5, 4], [2, 1, 13, 12], [6, 9], [8, 15, 10], [14, 19, 17], [18, 20], [22], [23, 21, 24]]
21: [[16, 3], [11, 7], [5, 4], [2, 1, 13, 12], [6, 9], [8, 15, 10], [14, 19, 17], [18, 20], [22], [23, 21, 24]]
22: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15, 10], [14, 19], [17, 18], [20, 22], [23, 21, 24]]
23: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15, 10], [14, 19], [17, 18, 20], [22, 23, 21, 24]]
24: [[16, 3], [11, 7], [5, 4], [2, 1, 13], [12, 6], [9, 8], [15, 10], [14, 19], [17, 18], [20, 22], [23, 21, 24]]
25: [[16, 3], [11, 7], [5, 4, 2], [1, 13], [12, 6, 9], [8, 15, 10], [14, 19], [17, 18], [20, 22], [23, 21, 24]]
26: [[16, 3], [11, 7], [5, 4, 2], [1, 13], [12, 6, 9], [8, 15, 10], [14, 19], [17, 18], [20, 22], [23, 21, 24]]
27: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12, 6], [9, 8], [15, 10], [14, 19], [17, 18, 20], [22, 23, 21, 24]]
28: [[16, 3], [11, 7], [5, 4, 2], [1, 13, 12], [6, 9], [8, 15], [10, 14], [19, 17, 18], [20, 22, 23, 21, 24]]
29: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6], [9, 8], [15, 10], [14, 19], [17, 18], [20, 22], [23, 21, 24]]
30: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17, 18], [20], [22, 23, 21], [24]]
31: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14], [19, 17], [18, 20, 22], [23], [21, 24]]
32: [[16, 3, 11], [7, 5], [4, 2], [1, 13], [12, 6], [9], [8, 15], [10, 14], [19, 17, 18], [20, 22], [23, 21, 24]]
33: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12, 6, 9, 8, 15, 10, 14, 19, 17, 18], [20, 22, 23], [21, 24]]
34: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15], [10, 14, 19, 17], [18, 20, 22, 23, 21, 24]]
35: [[16, 3], [11, 7, 5], [4, 2, 1, 13, 12, 6, 9], [8, 15, 10, 14, 19, 17, 18, 20, 22, 23], [21, 24]]
36: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15, 10], [14, 19], [17, 18], [20, 22, 23], [21, 24]]
37: [[16, 3], [11, 7], [5, 4], [2, 1, 13, 12], [6, 9], [8, 15, 10], [14, 19, 17], [18, 20, 22, 23, 21, 24]]
38: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9, 8], [15, 10], [14, 19], [17, 18], [20, 22, 23, 21, 24]]
39: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9, 8], [15, 10], [14, 19, 17], [18, 20, 22], [23, 21], [24]]
40: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9, 8], [15, 10], [14, 19], [17, 18], [20, 22, 23], [21, 24]]
41: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9, 8], [15, 10, 14, 19, 17, 18, 20, 22, 23, 21, 24]]
42: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12, 6], [9], [8, 15, 10, 14, 19, 17, 18, 20, 22, 23, 21, 24]]
43: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12], [6, 9], [8, 15, 10], [14, 19, 17, 18, 20, 22, 23, 21, 24]]
44: [[16, 3], [11, 7], [5, 4], [2, 1], [13, 12, 6], [9, 8], [15, 10], [14, 19], [17, 18], [20], [22, 23, 21], [24]]
45: [[16, 3], [11, 7], [5, 4], [2, 1, 13, 12], [6, 9, 8, 15, 10, 14, 19, 17, 18, 20, 22, 23, 21, 24]]
46: [[16, 3], [11, 7], [5, 4, 2], [1, 13], [12, 6, 9, 8, 15, 10, 14, 19, 17, 18, 20, 22, 23, 21, 24]]
47: [[16, 3], [11, 7], [5, 4, 2], [1, 13], [12, 6, 9], [8, 15, 10, 14, 19, 17, 18, 20, 22, 23, 21, 24]]
