0: [[13, 8, 12, 7], [10, 2, 4, 3, 5, 1], [6, 9, 11]]
1: [[13, 8, 12, 7], [10, 2, 4, 3, 5, 1], [6, 9, 11]]
2: [[13, 8, 12, 7], [10, 2, 4, 3, 5, 1], [6, 9, 11]]
3: [[13, 8, 12, 7], [10, 2, 4, 3, 5, 1], [6, 9, 11]]
4: [[13, 8, 12, 7], [10, 2, 4, 3, 5, 1], [6, 9, 11]]
5: [[13, 8, 12, 7, 10, 2], [4, 3, 5, 1], [6, 9, 11]]
6: [[13, 8, 12, 7, 10, 2], [4, 3, 5, 1], [6, 9, 11]]
7: [[13, 8, 12, 7, 10, 2], [4, 3, 5, 1], [6, 9, 11]]
8: [[13, 8, 12, 7, 10, 2], [4, 3, 5, 1], [6, 9, 11]]
9: [[13, 8, 12, 7, 10, 2, 4], [3, 5, 1], [6, 9, 11]]
10: [[13, 8, 12, 7], [10, 2, 4, 3, 5, 1, 6], [9, 11]]
11: [[13, 8, 12, 7], [10, 2, 4, 3, 5, 1, 6], [9, 11]]
12: [[13, 8, 12, 7, 10], [2, 4, 3, 5, 1], [6, 9, 11]]
13: [[13, 8, 12, 7, 10], [2, 4, 3, 5, 1], [6, 9, 11]]
14: [[13, 8, 12, 7, 10, 2], [4, 3, 5, 1, 6], [9, 11]]
15: [[13, 8, 12, 7, 10, 2, 4], [3, 5, 1, 6], [9, 11]]
16: [[13, 8, 12, 7, 10, 2, 4], [3, 5, 1, 6], [9, 11]]
17: [[13, 8, 12, 7, 10], [2, 4, 3, 5, 1, 6], [9, 11]]
18: [[13, 8, 12, 7, 10], [2, 4, 3, 5, 1, 6], [9, 11]]
19: [[13, 8, 12, 7, 10], [2, 4, 3, 5, 1, 6], [9, 11]]
20: [[13, 8, 12, 7, 10], [2, 4, 3, 5, 1, 6], [9, 11]]
21: [[13, 8, 12, 7, 10], [2, 4, 3, 5, 1, 6], [9, 11]]
22: [[13, 8, 12, 7, 10, 2], [4, 3, 5], [1, 6, 9, 11]]
23: [[13, 8, 12], [7, 10, 2, 4, 3, 5, 1], [6, 9, 11]]
24: [[13, 8, 12], [7, 10, 2, 4, 3, 5, 1, 6], [9, 11]]
25: [[13, 8, 12, 7, 10, 2, 4, 3], [5, 1, 6], [9, 11]]
26: [[13, 8, 12, 7, 10, 2, 4, 3], [5, 1, 6], [9, 11]]
27: [[13, 8, 12], [7, 10, 2, 4, 3, 5], [1, 6, 9, 11]]
