0: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32], [14, 41, 35, 2], [34, 3, 33], [24, 15, 10, 12], [4, 37, 16, 29], [9, 5, 38, 18], [1, 54], [17, 55, 47], [26, 8, 7, 39, 40, 23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
1: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32], [14, 41, 35, 2], [34, 3, 33], [24, 15, 10, 12], [4, 37, 16, 29], [9, 5, 38, 18], [1, 54], [17, 55, 47], [26, 8, 7, 39, 40, 23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
2: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5], [38, 18, 1], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
3: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2, 34], [3, 33, 24], [15, 10, 12], [5, 4, 16], [29, 9, 37], [38, 18, 1], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
4: [[19, 20, 51], [58, 22, 13], [21, 6, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12, 4], [37, 16, 29, 9], [5, 38, 18], [1, 54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 30], [28, 43, 27], [11, 46, 31], [42, 45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
5: [[19, 20], [51, 58, 22], [13, 21], [25, 32, 14], [41, 35, 2], [34, 3], [33, 24, 15, 6, 10], [4, 37, 16, 12, 29], [9, 5, 18], [38, 1], [54, 17, 55], [47, 26, 8], [7, 39, 23], [30, 28, 46], [11, 43, 27], [40, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
6: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3], [33, 24, 15], [10, 12, 4], [37, 16, 29], [9, 5], [18, 1, 54], [17, 55, 47], [31, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27, 11], [46, 38, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
7: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32], [14, 41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29], [9, 5, 18], [38, 1, 54], [17, 55, 47], [26, 8], [7, 39], [40, 23, 30], [28, 46, 11], [43, 27, 31], [42, 45, 56], [44, 36, 50], [52, 53], [49, 57, 48], [59, 60]]
8: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 38, 18], [1, 54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 30], [28, 43], [27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
9: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4], [37, 16, 29], [9, 5, 38], [1, 54, 17], [55, 47, 31], [26, 8, 7], [39, 40], [23, 30, 28], [43, 27, 11], [46, 18, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
10: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9], [5, 38, 18], [1, 54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 30], [28, 42, 11], [43, 27], [31, 46], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
11: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [29, 16, 9], [5, 38, 18], [1, 54, 17], [55], [47, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56], [44, 36, 50], [52, 53], [49, 57, 48], [60, 59]]
12: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37, 16], [29, 9, 5], [38, 18, 1], [54, 17, 55], [26, 8, 7], [39, 40, 23], [47, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
13: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 18], [10, 4, 37], [12, 29], [9, 5, 16], [38, 1], [54, 17, 55, 47], [26, 8], [7, 39, 40], [23, 28, 46], [11, 43, 27], [30, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
