0: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
1: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
2: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
3: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
4: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
5: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
6: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
7: [[19, 9, 10, 2, 1, 4], [7, 14, 6, 11], [12, 8, 15, 5, 13], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
8: [[19, 9, 1, 10, 2, 4], [7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
9: [[19, 9, 1, 10, 2, 4], [7, 14, 6, 11, 5], [12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
10: [[19, 9, 1, 10, 2, 4], [7, 14, 6, 11, 5], [12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
11: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11, 5], [12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
12: [[4, 9, 1, 19], [10, 2, 7, 14, 6], [11, 5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
13: [[4, 9, 1, 19], [10, 2, 7, 14, 6], [11, 5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
14: [[4, 9, 1, 19], [10, 2, 7, 14, 6], [11, 5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
15: [[4, 9, 1, 19], [10, 2, 7, 14, 6], [11, 5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
16: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
17: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
18: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
19: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
20: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
21: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
22: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
23: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
24: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
25: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
26: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
