0: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15, 8, 5, 12], [10, 14, 20], [18, 17, 16, 22, 19], [23, 21, 24]]
1: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15, 8, 5, 12], [10, 14, 20], [18, 17, 16, 22, 19], [23, 21, 24]]
2: [[2, 9], [7, 11, 1], [13, 6], [15, 8, 5], [12, 10, 14, 20], [18, 17, 16, 3], [22, 19, 4], [23, 21, 24]]
3: [[2, 9, 7], [11, 13, 6, 1], [15, 8], [5, 12], [10, 14, 20], [18, 17, 16, 3], [22, 19, 4], [23, 21, 24]]
4: [[2], [9, 7, 11, 13, 6, 1], [15, 8], [5, 12], [10, 14], [20, 18, 17], [16, 22, 19, 4, 3], [23, 21, 24]]
5: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15], [8, 5, 12], [10, 14], [20, 18, 17], [16, 22, 19], [23, 21, 24]]
6: [[2], [9, 7, 11, 13, 6, 15, 8, 1], [5, 12], [10, 14, 20, 18, 17], [16, 22, 4, 3], [19], [23, 21, 24]]
7: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15], [8, 5], [12, 10, 14, 20], [18, 17], [16, 22, 19], [23, 21, 24]]
8: [[2], [9, 7], [11, 13, 6, 1], [15, 8, 5], [12, 10, 14], [20, 18, 17], [16, 22, 19, 4, 3], [23, 21, 24]]
9: [[4, 3], [1, 2, 9], [7, 11], [13, 6], [15, 8, 5, 12, 10], [14, 20], [18, 17, 16, 22, 19], [23, 21, 24]]
10: [[2], [9, 7, 11, 13, 1], [6, 15], [8, 5, 12, 10], [14, 20], [18, 17, 16, 3], [22, 19, 4], [23, 21, 24]]
11: [[2], [9, 7], [11, 13, 6, 1], [15, 8], [5, 12, 10], [14, 20], [18, 17, 16, 3], [22, 19, 4], [23, 21, 24]]
12: [[2], [9, 7], [11, 13, 6, 1], [15, 8, 5], [12, 10, 3], [14, 20, 18, 17], [16, 22, 19, 4], [23, 21, 24]]
13: [[2, 9], [7, 11, 1], [13, 6], [15, 8, 5], [12, 10], [14, 20, 18], [17, 16, 3], [22, 19, 4], [23, 21, 24]]
14: [[2], [9, 7, 1], [11, 13], [6, 15, 8, 5, 12], [10, 14, 20], [18, 17, 16, 22, 19, 4, 3], [23, 21, 24]]
15: [[2, 9], [7, 11, 1], [13, 6], [15, 8, 5], [12, 10], [14, 20, 18], [17, 16, 3], [22, 19, 4], [23, 21, 24]]
16: [[2], [9, 7], [11, 13], [6, 15], [8, 5, 12], [10, 14, 20], [18, 17], [16, 22, 19, 4, 3, 1], [23, 21, 24]]
17: [[2], [9, 7], [11, 13], [6, 15], [8, 5], [12, 10, 14], [20, 18, 17], [16, 22, 19, 4, 3, 1], [23, 21, 24]]
18: [[2, 9, 4, 1], [7, 11], [13, 6, 15], [8, 5], [12, 10, 14, 20], [18, 17, 16, 3], [22, 19, 23, 21, 24]]
19: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15, 8], [5, 12], [10, 14, 20], [18, 17, 16, 22, 19, 23], [21, 24]]
20: [[2, 9, 4, 1], [7, 11], [13, 6, 15], [8, 5], [12, 10, 14], [20, 18, 17, 16, 3], [22, 19, 23, 21, 24]]
21: [[2], [9, 7, 11, 1], [13, 6], [15, 8, 5, 12], [10, 14, 20], [18, 17, 16, 22, 19, 4, 3], [23, 21], [24]]
22: [[2], [9, 7, 1], [11, 13, 6, 15, 8], [5, 12], [10, 14], [20, 18, 17, 16, 3], [22, 19, 23, 4], [21, 24]]
23: [[4, 3], [1, 2], [9, 7, 11], [13, 6], [15, 8], [5, 12, 10, 14, 20, 18, 17, 16, 22], [19, 23, 21, 24]]
24: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15, 8], [5, 12], [10, 14], [20, 18], [17, 16, 22], [19, 23], [21, 24]]
25: [[2, 9, 7, 1], [11, 13, 6, 15, 8], [5, 12], [10, 14, 20, 18], [17, 16, 3], [22, 19, 23, 4], [21, 24]]
26: [[2, 9, 4, 1], [7, 11, 13], [6, 15], [8, 5], [12, 10, 14, 20, 18, 17, 16, 3], [22, 19, 23, 21, 24]]
27: [[2], [7], [11, 13, 1], [6, 15, 8, 9], [5, 12], [10, 14], [20, 18], [17, 16, 3], [22, 19, 23, 4], [21, 24]]
28: [[2, 9], [7, 11, 13, 6, 1], [15, 8, 5], [12, 10], [14, 20], [18, 17, 16, 3], [22, 19, 23, 4], [21, 24]]
29: [[4, 3], [1, 2, 9], [7, 11, 13], [6, 15, 8, 5, 12], [10, 14, 20, 18], [17, 16, 22, 19, 23], [21, 24]]
30: [[4, 3], [1, 2, 9], [7, 11], [13, 6], [15, 8], [5, 12, 10], [14, 20, 18, 17], [16, 22, 19], [23, 21], [24]]
31: [[2], [9, 7, 11, 1], [13, 6], [15, 8], [5, 12, 4], [10, 14, 20, 18], [17, 16, 22, 3], [19, 23], [21, 24]]
32: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15], [8, 5], [12, 10, 14, 20], [18, 17, 16], [22, 19, 23, 21], [24]]
33: [[2, 9, 1], [7, 11], [13, 6, 15], [8, 5, 12, 10, 3], [14, 20, 18, 17], [16, 22, 19, 23, 21, 24, 4]]
34: [[2], [9, 7, 11, 1], [13, 6, 15], [8, 5, 12, 10], [14, 20, 18], [17, 16, 3], [22, 19, 23, 4], [21, 24]]
35: [[4, 3], [1, 2, 9], [7, 11], [13, 6, 15], [8, 5], [12, 10, 14], [20, 18, 17, 16, 22, 19, 23, 21, 24]]
36: [[2, 9], [7, 11, 13, 1], [6, 15], [8, 5], [12, 10, 3], [14, 20], [18, 17], [16, 22, 4], [19, 23, 21, 24]]
37: [[4, 3], [1, 2], [9, 7, 11], [13, 6, 15], [8, 5, 12], [10, 14, 20], [18, 17, 16, 22, 19, 23, 21, 24]]
38: [[4, 3], [1, 2], [9, 7, 11], [13, 6], [15, 8], [5, 12, 10, 14, 20, 18], [17, 16, 22, 19, 23, 21, 24]]
39: [[4, 3, 1], [2, 7, 11], [13, 6, 15, 8, 5, 9], [12, 10, 14, 20, 18, 17, 16, 22, 19, 23, 21, 24]]
40: [[2], [9, 7, 1], [11, 13], [6, 15, 8], [5, 12, 10], [14, 20], [18, 17, 16, 3], [22, 19, 23, 4], [21, 24]]
41: [[2, 9, 3, 1], [7, 11, 13, 6], [15, 8], [5, 12, 10, 14, 4], [20, 18], [17, 16, 22, 19, 23, 21, 24]]
42: [[1, 2, 9], [7, 11, 13], [6, 15, 8], [5, 12, 10, 4, 3], [14, 20, 18, 17, 16, 22, 19, 23, 21, 24]]
43: [[4, 3], [1, 2], [9, 7, 11, 13], [6, 15, 8], [5, 12, 10, 14, 20], [18, 17, 16, 22, 19, 23, 21, 24]]
44: [[4, 3], [1, 2], [9, 7], [11, 13], [6, 15, 8, 5], [12, 10], [14, 20, 18, 17, 16], [22, 19, 23, 21, 24]]
45: [[4, 3], [1, 2], [9, 7, 11], [13, 6], [15, 8], [5, 12, 10, 14, 20, 18, 17, 16, 22, 19, 23, 21, 24]]
46: [[2], [9, 7], [11, 13, 6, 15, 8], [5, 12, 10, 3], [14, 20, 18], [17, 16, 22, 19, 23, 4, 1], [21, 24]]
47: [[4, 3], [1, 2], [9, 7], [11, 13, 6, 15, 8], [5, 12, 10, 14], [20, 18, 17, 16, 22, 19, 23, 21, 24]]
