0: [[35, 7, 1, 2], [3, 4], [13, 5, 8, 11, 21, 6], [9, 12, 28, 10], [14, 23, 22, 15, 18], [17, 20, 25, 16, 19, 29, 26, 24, 27, 30, 31, 36, 40, 33, 46, 32, 34, 47, 39, 37, 38, 41, 42, 43, 44, 51, 50, 52, 56, 53, 54, 45], [48, 57, 49], [55, 59, 58, 60]]
1: [[35, 7, 1, 2], [3, 4], [13, 5, 8, 11, 21, 6], [9, 12, 28, 10], [14, 23, 22, 15, 18], [17, 20, 25, 16, 19, 29, 26, 24, 27, 30, 31, 36, 40, 33, 46, 32, 34, 47, 39, 37, 38, 41, 42, 43, 44, 51, 50, 52, 56, 53, 54, 45], [48, 57, 49], [55, 59, 58, 60]]
2: [[35, 7, 1, 2], [3, 4, 13, 5, 6, 14, 17, 12, 11, 8], [9, 10, 18, 31, 22, 15, 30, 16, 21, 23], [24, 19, 20, 26], [25, 27, 28, 29, 36], [41, 33, 46, 32, 34, 47, 38, 45, 43], [39, 44], [40, 42], [51, 50], [52, 55, 56, 54, 37], [49, 48, 57], [53, 59, 58, 60]]
3: [[35, 7, 1, 2], [3, 4, 13, 21, 12, 5, 26, 11, 6], [10, 8, 9, 14], [18, 30, 19, 15, 17, 28, 16, 24, 20, 27, 22, 23, 25, 31, 29, 42, 33, 36, 37, 34, 32, 38, 39, 40, 45, 41, 44, 47, 46, 60, 43, 55, 50], [48, 54, 49, 52, 57, 59, 53], [51, 56], [58]]
4: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 6], [29, 10, 8, 11, 9, 12, 14, 18, 30, 15, 19], [28, 23, 24, 16, 22, 17, 20, 27, 25, 26, 31, 40, 36, 34, 33, 42, 38, 46, 37, 32, 39, 45, 41, 47, 44, 43, 51, 50, 54, 53, 49, 48, 55, 52, 56, 57, 60, 58, 59]]
5: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 31], [8, 9, 11, 10, 14, 28, 12, 15, 23, 30, 16, 17, 18, 20, 19, 22, 26, 27, 24, 25, 29, 32, 36, 39, 37, 33, 43, 38, 42, 41, 40, 34], [46, 45, 47, 44, 55, 60, 48, 49, 50, 52, 54, 51, 58, 57, 53, 56, 59]]
6: [[35, 7, 1, 2], [3, 4, 13, 5, 25, 9, 21, 6], [27, 8, 15, 11, 18, 10], [12, 14], [19, 31, 29, 16, 22, 17, 20, 26, 28, 23, 24], [30, 32, 38, 36, 33, 34, 44, 37, 47], [39, 40, 43, 46, 42, 41, 45, 51, 56, 48], [53, 49, 54, 50, 55, 52, 58, 59, 57, 60]]
7: [[35, 7, 1, 2], [3, 4, 13, 21, 10, 28, 31, 5, 6], [8, 9, 29, 22, 16], [26, 15, 18, 11, 20, 23, 25, 19, 12, 14, 17, 24], [27, 30, 40, 33, 32, 38, 34, 37, 36], [39, 47, 41, 43, 44, 42], [45], [46, 50, 49, 52, 57, 55, 48, 53], [51, 54, 59, 58, 56, 60]]
8: [[35, 7, 1, 2, 3, 4], [13, 21, 11, 23], [29, 6, 9, 5, 16, 8, 26, 12], [30, 15, 10, 14, 18, 17, 19, 20, 25, 27, 22, 28, 24, 31, 46, 32, 33, 37, 36, 34, 38, 42, 45, 39, 47, 40, 44, 41, 43, 50, 54], [48, 53, 58, 55, 51], [56, 52, 49, 57, 59, 60]]
9: [[35, 7, 1, 2, 3], [4, 13, 21, 5], [22, 6, 11, 8, 12, 9, 10, 27, 31, 28, 14, 15, 16, 25, 18, 17, 19, 20, 23, 26, 30, 24, 29], [44, 33, 36, 32, 38, 42, 37, 34, 39, 40, 46, 43, 41, 45, 47], [54, 52], [48, 51], [55, 50, 49, 53, 57, 60, 59, 56, 58]]
10: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 6], [25, 10, 8, 15], [9, 11, 14, 18], [22, 20, 19, 16, 27, 24, 12, 17, 23, 28], [31, 26, 29, 30, 40, 38, 36, 37, 32, 41, 46, 33, 34, 43, 47, 39, 42], [45, 44, 51, 50, 55, 52, 53, 48, 54, 56, 49, 57, 60, 58, 59]]
11: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 14], [10, 11, 6, 8, 24, 9, 22, 28], [31, 12, 15, 20, 27, 23, 30, 16], [17, 26, 19, 18, 29, 25, 40, 34, 36, 33, 32, 37, 46, 38, 47, 42, 39, 41, 43, 44, 60, 51, 50], [45, 49, 52, 53, 48, 57, 54, 55, 58, 59, 56]]
12: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 6, 16, 12, 10, 8, 9], [14, 18, 20, 15, 23, 19], [28, 22, 17, 25, 26, 27, 24, 30, 31, 29], [33, 44, 32, 37], [11, 38, 34, 45, 36, 39, 46, 41, 40, 42, 47, 50, 51, 48, 43], [49, 52, 54, 53, 60, 55, 56, 57, 58, 59]]
13: [[35, 7, 1, 2], [3, 4, 13, 21, 14, 6, 27, 12, 5, 11, 8, 29], [15, 16, 10, 9, 17, 20, 22, 19, 28, 24, 23, 18], [25, 30, 31, 26, 40, 33, 32, 36, 34, 39, 37, 38, 41, 46, 45], [44, 42, 43, 60, 50, 56], [52, 49, 47, 48, 51, 53, 55, 54, 57, 59, 58]]
14: [[35, 7, 1, 2], [3, 4, 13, 5, 11, 10, 21, 6, 8, 9, 12, 15, 16, 14, 22, 29, 18], [31, 17, 27, 20, 19, 25, 26, 24, 23, 30, 28, 44, 40, 36], [38, 32], [50, 47, 37, 33, 34, 41, 43, 39, 46, 42, 45, 51, 56], [53, 49, 55, 48, 57, 52, 54, 59, 58, 60]]
15: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 8], [14, 12, 11, 10, 9, 22, 15, 16, 19, 17, 18, 20, 28, 25, 26, 24, 23, 29, 31, 27, 30, 44, 32, 36, 33, 37, 41, 34, 39, 38, 47, 42, 40, 43, 45, 46, 49, 51, 50, 53, 48, 52, 55, 56, 54, 57, 59, 60, 58]]
16: [[35, 7, 1, 2], [3, 4], [13, 5, 21, 14, 29, 6, 15, 10, 8, 11, 9], [12, 18, 19, 22, 17, 28, 20, 23, 16], [25, 26, 30, 27, 24, 31, 40, 34, 32, 33], [38, 36, 39, 43, 37, 41, 44, 46, 45, 42], [47, 51, 48, 49, 55, 53, 52, 50, 56, 54, 58, 57, 59, 60]]
