0: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
1: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 9, 16], [17, 19, 20, 18]]
2: [[3, 1], [2, 14, 6, 7, 5, 4, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
3: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
4: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
5: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
6: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
7: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
8: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
9: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
10: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
11: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
12: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
13: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
14: [[3, 1, 2, 14, 6, 7, 5, 4], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
15: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
16: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
17: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
18: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
19: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
20: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
21: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
22: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
23: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
24: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
25: [[3, 1, 2, 14, 6, 7, 4, 5], [8, 10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
26: [[3, 1], [2, 14, 6, 7, 5, 8, 10, 4], [13, 11, 12, 15, 17, 9], [16, 19, 20, 18]]
27: [[3, 1, 2, 14, 6, 7, 4, 5, 8], [10], [13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
28: [[3, 1, 2, 14, 6, 7], [4, 5], [8, 10, 13, 11, 12, 15, 16, 9], [17, 19, 20, 18]]
29: [[3, 1, 2, 14, 6, 7], [5, 4], [8, 10, 13, 11, 12, 16, 15, 9], [17, 19, 20, 18]]
30: [[3, 1, 2, 14, 6, 7], [5, 4], [8, 10, 13, 11, 12, 16, 15, 9], [17, 19, 20, 18]]
31: [[3, 1, 2, 14, 6, 7], [5, 4], [8, 10, 13, 11, 12, 16, 15, 9], [17, 19, 20, 18]]
32: [[3, 1], [2, 14, 6, 7, 4, 5, 8, 12], [13, 11, 10, 15, 16, 9], [17, 19, 20, 18]]
33: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15, 9], [16], [17, 19, 20, 18]]
34: [[3, 1, 2, 14, 6, 7], [5, 4, 8, 10, 13, 11, 12, 9, 15], [16], [17, 19, 20, 18]]
35: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15, 9], [16], [17, 19, 20, 18]]
36: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15, 16], [9], [17, 19, 20, 18]]
37: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15], [16, 9], [17, 19, 20, 18]]
38: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15], [16, 9], [17, 19, 20, 18]]
39: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15], [16, 9], [17, 19, 20, 18]]
40: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15], [16, 9], [17, 19, 20, 18]]
41: [[3, 1, 2, 14, 6, 7], [4, 5, 8, 10, 13, 11, 12, 15], [16, 9], [17, 19, 20, 18]]
