0: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
1: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
2: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
3: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
4: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
5: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
6: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
7: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
8: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
9: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
10: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
11: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
12: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
13: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
14: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
15: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
16: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
17: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
18: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
19: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
20: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
21: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
22: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
23: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
24: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13], [15, 14, 6, 7, 16]]
25: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15, 14], [6, 7, 16]]
26: [[10, 8, 11, 3, 9], [2, 5, 1, 4], [19, 12, 17, 18, 20, 13, 15, 14], [6, 7, 16]]
27: [[10, 8, 11, 9], [3, 2, 4, 5, 1], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
28: [[10, 8, 11, 9], [3, 2, 4, 5, 1], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
29: [[10, 8, 11, 9, 3], [2, 4, 5], [1, 19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
30: [[10, 8, 11, 9, 3], [2, 4, 5], [1, 19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
31: [[10, 8, 11, 9, 3], [2, 4, 5], [1, 19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
32: [[10, 8, 11, 9, 3], [2, 4, 5], [1, 19, 12, 17, 18, 20, 13], [15, 14, 6, 7, 16]]
33: [[10, 8, 11, 9, 3], [2, 4, 5], [1, 19, 12, 17, 18, 20, 13], [15, 14, 6, 7, 16]]
34: [[10, 8, 11, 9, 3], [2, 4, 5], [1, 19, 12, 17, 18, 20, 13], [15, 14, 6, 7, 16]]
35: [[10, 8, 11, 3, 2, 9], [5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
36: [[10, 8, 11, 3, 2, 9], [5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
37: [[10, 8, 11, 3, 2, 9], [5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
38: [[10, 8, 11, 3, 2, 9], [5, 1, 4], [19, 12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
39: [[10, 8, 11, 3, 9], [2, 5, 1, 19, 4], [12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
40: [[10, 8, 11, 3, 9], [2, 5, 1, 19, 4], [12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
41: [[10, 8, 11, 3, 2, 9], [5, 1, 19, 4], [12, 17, 18, 20, 13, 15], [14, 6, 7, 16]]
