0: [[14, 4], [9, 20, 2, 5, 7, 10, 6], [3, 1, 8], [13, 11, 12], [16, 17, 18, 15, 19]]
1: [[14, 4], [9, 20, 2, 5, 7, 10, 6], [3, 1, 8], [13, 11, 12], [16, 17, 18, 15, 19]]
2: [[14, 4], [9, 20, 2, 5, 7, 10, 6], [3, 1, 8], [13, 11, 12], [16, 17, 18, 15, 19]]
3: [[14, 4], [9, 20, 2, 5, 7], [10, 6], [3, 1, 8], [13, 11, 12], [16, 17, 18, 15, 19]]
4: [[14, 4], [9, 20], [2, 5, 7], [10, 6], [3, 1, 8], [13, 11, 12], [16, 17, 18, 15, 19]]
5: [[14, 4], [9, 20, 2], [5, 7], [10, 6], [3, 1, 8], [13, 11, 12], [16, 17, 18, 15, 19]]
6: [[14, 4], [9, 20], [2, 5, 7], [10, 6], [3, 1, 8], [13, 11, 12, 16], [17, 18, 15, 19]]
7: [[14, 4], [9, 20], [2, 5, 7], [10, 6], [3, 1, 8], [13, 11, 12, 16], [17, 18, 15, 19]]
8: [[14, 4], [9, 20, 2, 5, 7, 10, 6], [3, 1, 8], [13, 11, 12, 16, 17], [18, 15, 19]]
9: [[14, 4], [9, 20, 2], [5, 7], [10, 6], [3, 1, 8], [13, 11, 12, 16], [17, 18, 15, 19]]
10: [[14, 4, 9, 20], [2, 5, 7, 10], [6, 3, 1], [8, 13, 11, 12], [16, 17, 18, 15, 19]]
11: [[14, 4], [9, 20], [2, 5, 7], [10, 6], [3, 1, 8], [13, 11, 12], [16, 17, 18], [15, 19]]
12: [[14, 4], [9, 20], [2, 5, 7, 10, 6], [3, 1, 8, 13], [11, 12, 16], [17, 18, 15, 19]]
13: [[14, 4], [9, 20], [2, 5, 7], [10, 6], [3, 1, 8], [13, 11, 12, 16, 17], [18, 15, 19]]
14: [[14, 4], [9, 20, 2], [5, 7, 10], [6, 3], [1, 8], [13, 11, 12], [16, 17, 18, 15, 19]]
15: [[14, 4, 9, 20], [2, 5, 7, 10], [6, 3, 1, 8], [13, 11, 12, 16, 17, 18, 15, 19]]
16: [[14, 4, 9, 20, 2], [5, 7, 10, 6], [3, 1, 8, 13], [11, 12, 16, 17, 18, 15, 19]]
17: [[14, 4], [9, 20, 2, 5], [7, 10], [6, 3, 1, 8], [13, 11, 12], [16, 17, 18], [15, 19]]
18: [[14, 4], [9, 20, 2, 5, 7], [10, 6, 3, 1, 8], [13, 11], [12, 16, 17, 18, 15, 19]]
19: [[14, 4], [9, 20, 2, 5, 7], [10, 6, 3, 1, 8, 13, 11], [12, 16, 17, 18, 15, 19]]
20: [[14, 4], [9, 20, 2], [5, 7], [10, 6, 3, 1, 8], [13, 11, 12, 16, 17, 18, 15, 19]]
21: [[14, 4], [9, 20, 2], [5, 7, 10, 6], [3, 1, 8, 13], [11, 12, 16, 17, 18], [15, 19]]
22: [[14, 4], [9, 20, 2, 5, 7], [10, 6, 3, 1, 8, 13, 11, 12], [16, 17, 18, 15, 19]]
23: [[14, 4, 9], [20, 2, 5, 7], [10, 6, 3, 1], [8, 13, 11, 12], [16, 17, 18, 15, 19]]
24: [[14, 4], [9, 20, 2], [5, 7, 10], [6, 3, 1, 8, 13], [11, 12, 16, 17, 18], [15, 19]]
25: [[14, 4, 9, 20, 2, 5, 7], [10, 6, 3, 1, 8, 13], [11, 12, 16, 17, 18, 15, 19]]
26: [[14, 4], [9, 20], [2, 5, 7], [10, 6, 3], [1, 8], [13, 11, 12], [16, 17, 18], [15, 19]]
27: [[14, 4], [9, 20], [2, 5, 7], [10, 6, 3], [1, 8], [13, 11, 12], [16, 17, 18], [15, 19]]
28: [[14, 4], [9, 20, 2], [5, 7, 10], [6, 3, 1], [8, 13, 11], [12, 16, 17], [18, 15, 19]]
29: [[14, 4, 9], [20, 2], [5, 7, 10, 6], [3, 1], [8, 13, 11, 12], [16, 17, 18], [15, 19]]
30: [[14, 4, 9], [20, 2], [5, 7, 10, 6], [3, 1, 8, 13], [11, 12, 16, 17, 18], [15, 19]]
31: [[14, 4], [9, 20], [2, 5, 7, 10], [6, 3], [1, 8, 13, 11], [12, 16, 17], [18, 15, 19]]
32: [[14, 4], [9, 20, 2, 5, 7], [10, 6, 3], [1, 8, 13], [11, 12, 16, 17, 18], [15, 19]]
33: [[14, 4], [9, 20, 2, 5, 7], [10, 6, 3], [1, 8, 13], [11, 12, 16, 17, 18], [15, 19]]
34: [[14, 4, 9, 20, 2, 5], [7, 10, 6, 3], [1, 8, 13, 11, 12, 16, 17, 18, 15, 19]]
35: [[14, 4, 9], [20, 2, 5, 7], [10, 6, 3], [1, 8], [13, 11, 12], [16, 17, 18], [15, 19]]
36: [[14, 4, 9], [20, 2, 5], [7, 10, 6, 3, 1], [8, 13, 11], [12, 16, 17, 18, 15, 19]]
37: [[14, 4, 9], [20, 2], [5, 7, 10], [6, 3, 1], [8, 13, 11], [12, 16, 17, 18], [15, 19]]
38: [[14, 4, 9], [20, 2, 5], [7, 10, 6, 3, 1], [8, 13, 11, 12, 16, 17, 18, 15, 19]]
39: [[14, 4], [9, 20, 2, 5, 7], [10, 6, 3, 1, 8, 13, 11, 12, 16, 17, 18, 15, 19]]
