0: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
1: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
2: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
3: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
4: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
5: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
6: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
7: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
8: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
9: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
10: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
11: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
12: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
13: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
14: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
