0: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3, 4, 22, 20, 16], [10, 15], [9, 18, 8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
1: [[13, 2, 12, 19, 35, 5], [11, 1, 6, 7, 3, 4], [22, 20, 16], [10, 15], [9, 18, 8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
2: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7], [3, 4, 22, 20, 16, 10, 15], [9, 18], [8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
3: [[13, 2, 12, 19, 35, 5], [11, 1, 6, 7, 3, 4], [22, 20, 16, 10, 15, 9, 18], [8, 24, 29, 14], [25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
4: [[13, 2, 12, 19], [35, 5, 11], [1, 6, 7, 3, 4], [22, 20, 16, 10], [15, 9, 18, 8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
5: [[13, 2, 12, 19], [35, 5, 11], [1, 6, 7, 3, 4], [22, 20, 16, 10], [15, 9, 18, 8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
6: [[13, 2, 12, 19], [35, 5, 11, 1, 6, 7], [3, 4, 22, 20], [16, 10, 15], [9, 18, 8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
7: [[13, 2, 12, 19, 35, 5, 11, 1], [6, 7, 3, 4, 22, 20, 16], [10, 15, 9], [18, 8, 24, 29], [14, 25, 21, 26, 27, 28, 17], [23, 30, 31, 32, 34, 33, 37, 36]]
8: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3], [4, 22, 20, 16, 10, 15], [9, 18, 8, 24, 29, 14], [25, 21, 26, 27], [28, 17, 23, 30, 31, 32, 34, 33], [37, 36]]
9: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3], [4, 22, 20, 16, 10, 15], [9, 18, 8, 24, 29, 14], [25, 21, 26, 27], [28, 17, 23, 30, 31, 32, 34, 33], [37, 36]]
10: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7], [3, 4, 22], [20, 16], [10, 15, 9], [18, 8, 24, 29, 14], [25, 21, 26], [27, 28], [17, 23, 30, 31, 32, 34, 33, 37, 36]]
