0: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
1: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
2: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
3: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
4: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
5: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
6: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
7: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
8: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
9: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
10: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
11: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
12: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
13: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
14: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
15: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
16: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
17: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
18: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
19: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
20: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
21: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
22: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
23: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
24: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
25: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
26: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
27: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
28: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
29: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
30: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
31: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
32: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
33: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
34: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
35: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
36: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
37: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
38: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
39: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
40: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
41: [[2, 1], [18, 12, 13], [5, 11, 3, 9], [16, 8, 14, 6, 15, 4], [7, 10], [19, 20, 17]]
