0: [[2, 10, 12, 1, 4, 8], [3, 5], [7, 13], [6, 9, 11]]
1: [[2, 10, 12, 1, 4, 8], [3, 5], [7, 13], [6, 9, 11]]
2: [[2, 10, 12, 1, 4, 8], [3, 5], [7, 13], [6, 9, 11]]
3: [[2, 10, 12, 1], [4, 8], [3, 5], [7, 13, 6, 9, 11]]
4: [[2, 10, 12, 1], [4, 8], [3, 5], [7, 13, 6, 9, 11]]
5: [[2, 10, 12, 1], [4, 8], [3, 5], [7, 13, 6, 9, 11]]
6: [[2, 10], [12, 1, 4, 8, 3, 5], [7, 13], [6, 9, 11]]
7: [[2, 10], [12, 1, 4, 8, 3, 5], [7, 13], [6, 9, 11]]
8: [[2, 10], [12, 1, 4, 8], [3, 5], [7, 13, 6, 9, 11]]
9: [[2, 10], [12, 1, 4, 8], [3, 5], [7, 13, 6, 9, 11]]
10: [[2, 10], [12, 1], [4, 8, 3, 5], [7, 13, 6, 9, 11]]
11: [[2, 10], [12, 1], [4, 8, 3, 5], [7, 13, 6, 9, 11]]
12: [[2, 10], [12, 1], [4, 8, 3, 5], [7, 13, 6, 9, 11]]
13: [[2, 10], [12, 1], [4, 8, 3, 5], [7, 13, 6, 9, 11]]
14: [[2, 10, 12], [1, 4], [8, 3], [5, 7, 13, 6, 9, 11]]
15: [[2, 10, 12], [1, 4], [8, 3], [5, 7, 13, 6, 9, 11]]
16: [[2, 10], [12, 1], [4, 8, 3, 5, 7, 13, 6], [9, 11]]
17: [[2, 10], [12, 1], [4, 8, 3, 5, 7, 13, 6], [9, 11]]
18: [[2, 10], [12, 1], [4, 8, 3, 5, 7, 13, 6], [9, 11]]
19: [[2, 10], [12, 1], [4, 8, 3, 5, 7], [13, 6, 9, 11]]
20: [[2, 10], [12, 1, 4, 8, 3], [5, 7], [13, 6, 9, 11]]
21: [[2, 10], [12, 1, 4, 8, 3], [5, 7], [13, 6, 9, 11]]
22: [[2, 10], [12, 1], [4, 8, 3], [5, 7, 13, 6, 9, 11]]
23: [[2, 10], [12, 1], [4, 8, 3], [5, 7, 13, 6, 9, 11]]
24: [[2, 10], [12, 1], [4, 8, 3], [5, 7, 13, 6, 9, 11]]
25: [[2, 10], [12, 1], [4, 8, 3], [5, 7, 13, 6, 9, 11]]
26: [[2, 10, 12, 1, 4, 8, 3], [5, 7], [13, 6], [9, 11]]
27: [[2, 10], [12, 1, 4], [8, 3], [5, 7, 13, 6, 9, 11]]
