0: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
1: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
2: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
3: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
4: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
5: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
6: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
7: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
8: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
9: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
10: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
11: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
12: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
13: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
14: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
15: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
16: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
17: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
18: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
19: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
20: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
21: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
22: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
23: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
24: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
25: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
26: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
27: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
28: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
29: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
30: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
31: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
32: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
33: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
34: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
35: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
36: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
37: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
38: [[14, 15], [5, 2, 9], [16, 6, 7], [8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
39: [[14, 15], [5, 2], [9, 16, 6], [7, 8, 10], [11, 1, 3], [4, 13], [18, 12], [19, 20, 17]]
