0: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
1: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
2: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
3: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
4: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
5: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
6: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
7: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
8: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
9: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
10: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
11: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
12: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
13: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
14: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
15: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
16: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
17: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
18: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
19: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
20: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
21: [[16, 19, 29, 24], [13, 23, 8, 15, 37], [18, 2, 22, 35], [9, 27, 17, 4], [12, 3, 6, 1, 5], [10, 14, 7, 20, 11], [21, 36, 25, 28, 26], [31, 33, 30, 32, 34]]
