0: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
1: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
2: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
3: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
4: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
5: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
6: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
7: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
8: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
9: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
10: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
11: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
12: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
13: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
14: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
15: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
16: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
17: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
18: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
19: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
20: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
21: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
22: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
23: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
24: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
25: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
26: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
27: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
28: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
29: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
30: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
31: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
32: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
33: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
34: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
35: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
36: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
37: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
38: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
39: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
40: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
41: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
42: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
43: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
44: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
45: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
46: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
47: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
48: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
49: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
50: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
51: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
52: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
53: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
54: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
55: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
56: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
57: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
58: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
59: [[6, 19, 16, 5, 1, 2, 10], [11, 3, 13, 4, 8, 15, 12], [7, 28, 9, 22, 17, 23, 18, 24, 14], [20, 21, 25, 26, 27, 29]]
