0: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8, 11, 13, 10, 12], [16, 19, 14], [23, 22], [29, 24, 28], [25, 20], [21, 26, 27]]
1: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8, 11, 13, 10, 12], [16, 19, 14], [23, 22], [29, 24, 28], [25, 20], [21, 26, 27]]
2: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11], [13, 10, 12], [20, 19], [14, 16], [29, 28, 24], [23, 25, 22], [21, 26, 27]]
3: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 12], [10, 13, 19], [14, 16, 23], [22, 29, 24], [28, 20, 25], [27, 26, 21]]
4: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 13], [12, 10], [16, 23, 14], [19, 22, 29], [24, 20, 25, 28], [21, 26, 27]]
5: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8], [11, 13], [10, 12, 16], [14, 22, 19], [24, 29], [20, 23, 25], [27, 21, 26, 28]]
6: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8], [11, 13, 10, 12, 16], [14, 22, 19, 20, 29, 28, 23], [21, 25, 24, 26, 27]]
7: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8, 11, 13, 10, 12], [14, 16, 19], [20, 22], [21, 25, 23], [24], [29, 28], [26, 27]]
8: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8, 11, 14, 12, 10], [19, 13, 16], [23, 22, 28, 24, 21], [25, 29, 27, 26, 20]]
9: [[18, 9, 17, 5], [6, 2], [15, 1, 4, 12], [3, 7], [8, 11], [19, 14], [13, 20, 23, 10, 22], [16], [24, 28], [25, 27, 21, 26, 29]]
10: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 12], [10, 13, 19, 14, 29], [23, 22, 16, 24], [28, 20, 25, 27, 26, 21]]
11: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [13, 10, 12, 16, 14, 22, 23], [19], [29, 28, 20, 21, 24, 25, 26, 27]]
12: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 13], [10, 12], [22, 19, 14, 23, 16, 29], [24, 21, 27, 28], [20, 26, 25]]
13: [[18, 9, 17], [5, 6, 2], [15, 1, 4], [3, 7, 8, 11, 13, 10, 12, 16, 14, 19, 23, 22, 29, 25], [20], [21, 28, 24, 26, 27]]
14: [[18, 9, 17], [5, 6], [2, 15, 1, 4], [3], [7, 10, 11, 13], [8, 22, 14, 12, 19], [26, 16], [20, 25, 28], [23, 24, 29], [27, 21]]
15: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8, 11, 13, 10, 16, 12, 14, 19, 25, 20], [22, 24, 29, 23, 27, 21, 26, 28]]
16: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 13, 10], [12, 16, 14], [22, 23], [19], [24, 25, 20, 21, 28, 29, 26, 27]]
17: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8], [11, 13], [10, 12, 16], [19, 14, 22, 29, 24], [20, 23, 25, 27, 21, 26, 28]]
