0: [[9, 6], [1, 4, 3, 5, 10], [8, 7, 13, 11, 12, 2]]
1: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
2: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
3: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
4: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
5: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
6: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
7: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
8: [[9, 6], [1, 4, 3, 5, 10], [2, 8, 7, 13, 11, 12]]
9: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
10: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
11: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
12: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
13: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
14: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
15: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
16: [[9, 6], [1, 4, 3, 5, 10, 2], [8, 7, 13, 11, 12]]
17: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
18: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
19: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
20: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
21: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
22: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
23: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
24: [[9, 6], [1, 4, 3, 5], [10, 2, 8, 7, 13, 11, 12]]
25: [[9, 6], [1, 4, 3, 5, 10, 2, 8], [7, 13, 11, 12]]
26: [[9, 6], [1, 4, 3, 5, 10, 2, 8], [7, 13, 11, 12]]
27: [[9, 6], [1, 4, 3, 5, 10, 2, 8], [7, 13, 11, 12]]
