0: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
1: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
2: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
3: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
4: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
5: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
6: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
7: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
8: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
9: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
10: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
11: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
12: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
13: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
14: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
15: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
16: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
17: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
18: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
19: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
20: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
21: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
22: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
23: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
24: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
25: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
26: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
27: [[8, 6, 11], [5, 1, 2, 3], [4, 10, 9], [13, 12, 7]]
