0: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9], [14, 20, 18, 4, 15], [13, 12]]
1: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9], [14, 20, 18, 4, 15], [13, 12]]
2: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9], [14, 4], [20, 18, 15], [13, 12]]
3: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9], [14, 20, 18, 13, 12, 4, 15]]
4: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9], [14, 4], [20, 15], [18, 13, 12]]
5: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 19], [5, 9], [14, 4, 15], [20, 18], [13, 12]]
6: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9, 14], [4, 15, 20, 18, 13, 12]]
7: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9], [14, 20, 4], [18], [13, 12, 15]]
8: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19], [5, 9], [14, 20, 4], [18], [13, 12, 15]]
9: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 19, 9, 5, 14], [4, 15, 18, 20], [13, 12]]
10: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 19], [5, 9], [14, 20, 4], [18, 15], [13, 12]]
11: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 19], [5, 9], [14, 4], [20, 18, 13, 12, 15]]
12: [[2, 7], [16, 6], [10, 8], [3, 1, 11], [17, 19, 5], [13, 14, 4], [20], [18, 12, 9, 15]]
13: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 19, 5, 14, 20, 18, 9, 15], [13, 12, 4]]
14: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 9], [19, 5], [14, 4], [20, 15], [18, 13, 12]]
15: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 9], [19, 5], [14, 4], [20, 15], [18, 13, 12]]
16: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 9], [19, 5], [14, 20, 18, 13, 12, 4, 15]]
17: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 9], [19, 5], [14, 4], [20, 15], [18, 13, 12]]
18: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 9], [19, 5], [14, 4], [20, 18, 13, 12, 15]]
19: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17, 9], [19, 5], [14, 4], [20, 18, 13, 12, 15]]
20: [[2, 7], [16, 6], [10, 8, 3, 1, 11], [17, 19, 5, 9], [14, 20, 15, 18, 13, 12, 4]]
21: [[2, 7], [16, 6], [10, 8, 3, 1, 11], [17, 19, 5, 14, 20, 15, 18, 13, 12, 9, 4]]
22: [[2, 7], [16, 10, 6], [8, 3, 1], [11, 17, 9], [19, 5], [14, 4], [20, 18, 13, 12, 15]]
23: [[2, 7], [16, 10, 6], [8, 3], [1, 11], [17, 19, 9], [5, 14, 4, 15], [20, 18], [13, 12]]
24: [[2, 7], [16, 6], [10, 8], [3, 1, 11, 17, 19, 9, 5, 14, 20, 18, 4, 15], [13, 12]]
25: [[2, 7], [16, 6], [10, 8], [3, 1], [11, 17], [19, 5, 9], [14, 20, 18, 4], [13, 12, 15]]
26: [[2, 7, 16, 6], [10], [8, 3], [1, 11], [17, 19], [5, 14, 9], [20, 18, 4, 15], [13, 12]]
27: [[2, 7], [16], [10, 8, 3, 1], [11], [17, 19, 5], [14, 9, 6, 15], [20, 18, 4], [13, 12]]
28: [[2, 7], [16], [10, 8], [3, 1], [11, 17], [19, 5], [14, 9, 6, 15], [20, 18, 4], [13, 12]]
29: [[2, 7], [16, 6], [10, 8], [3, 1, 11, 17, 19], [5, 9, 14, 4, 18, 20, 15, 13, 12]]
30: [[2, 7], [16, 10, 8, 3, 1, 6], [11, 17], [19], [5, 9], [14, 18, 20, 4, 15], [13, 12]]
31: [[2, 7, 16, 6, 10, 8], [3, 1, 11, 17], [19, 9], [5, 14, 4], [12, 18, 13, 20, 15]]
32: [[2, 7, 6], [16], [10, 8], [3, 1, 11, 17, 19], [5, 14, 9, 4, 15], [20, 18, 13, 12]]
33: [[2, 7, 6], [16], [10, 8, 3], [1, 11], [17, 19, 9, 15], [5, 14, 4], [20, 18, 13, 12]]
34: [[2, 7], [16, 10, 8, 3, 6], [1, 11, 17, 19, 5, 9], [14, 20, 15, 18, 13, 12, 4]]
35: [[2, 7, 6], [16], [10, 8, 3], [1, 11], [17, 19], [5, 14, 9], [20, 18, 13, 12, 4, 15]]
36: [[7], [16, 6], [10, 8, 3], [1, 11, 2], [17, 19, 5, 14, 9], [20, 15, 18, 13, 12, 4]]
37: [[2, 7], [16, 6, 10, 8], [3, 1, 11, 17, 19, 9, 5, 14, 4, 18, 20, 15, 13, 12]]
38: [[2, 7], [16, 6], [10, 8, 3, 1, 11, 17, 19, 9, 5, 14, 4, 15, 20, 18, 13, 12]]
39: [[2, 7, 16, 6], [10, 8, 3, 1, 11, 17, 19, 9, 5, 14, 4, 18], [20, 15, 13, 12]]
40: [[2, 7, 16], [6, 10, 8, 3, 1, 11, 17, 19, 9, 5, 14, 20, 4, 15, 18], [13, 12]]
41: [[2, 7], [16], [10, 8, 3], [1, 11, 17], [19, 5], [14, 9, 6, 15], [20, 18], [13, 12, 4]]
