0: [[18, 3, 16], [11, 15, 7, 14, 8, 12], [6, 17, 9, 5, 13], [19, 2, 22, 10, 4, 20, 1], [23, 24, 21]]
1: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
2: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
3: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
4: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
5: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
6: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
7: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
8: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
9: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
10: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
11: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
12: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
13: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
14: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
15: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
16: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
17: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
18: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
19: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
20: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
21: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
22: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
23: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
24: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
25: [[3, 18, 16, 12], [11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
26: [[3, 18, 16, 12], [11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
27: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9, 19], [2, 22, 10, 4, 20], [23, 24, 21]]
