0: [[7, 12, 13], [1, 5, 2, 3], [4, 10], [6, 8, 9, 11]]
1: [[7, 12, 13], [1, 5, 3, 2], [4, 10], [6, 8, 9, 11]]
2: [[7, 12, 13], [3, 1], [5, 2], [4, 10], [6, 8, 9, 11]]
3: [[7, 12, 13], [3, 1], [5, 2], [4, 10], [6, 8, 9, 11]]
4: [[12, 13, 7], [1, 5, 2, 3], [4, 10], [6, 8], [9, 11]]
5: [[7, 12, 13], [3, 1], [5, 2], [4, 10], [6, 8], [9, 11]]
6: [[7, 12, 13], [3, 1, 5, 2, 4, 10, 6], [8, 9, 11]]
7: [[7, 12, 13], [3, 1], [5, 2, 4, 10, 6, 8, 9, 11]]
8: [[7, 12], [13, 3, 1, 5, 2], [4, 10, 6, 8, 9, 11]]
9: [[7, 12], [13, 3, 1, 5], [2, 4, 10], [6, 8, 9, 11]]
10: [[12, 13, 7], [3, 1], [5, 4, 10, 6, 2], [8, 9, 11]]
11: [[7, 12], [13, 3, 1], [5, 2, 4, 10], [6, 8, 9, 11]]
12: [[7, 12], [13, 3, 1], [5, 2, 4, 10], [6, 8, 9, 11]]
13: [[7, 12], [13, 3, 1], [5, 2, 4, 10], [6, 8, 9, 11]]
14: [[12], [13], [1, 5, 3], [2, 4, 10, 6], [8, 9, 11, 7]]
15: [[12, 7], [13, 3, 1, 5], [4, 10, 6, 2], [8, 9, 11]]
16: [[7, 12], [13, 3, 1, 5, 2, 4, 10, 6, 8], [9, 11]]
17: [[7, 12], [13, 3, 1, 5, 2, 4, 10, 6, 8], [9, 11]]
18: [[7, 12], [13, 3, 1], [5, 2], [4, 10], [6, 8], [9, 11]]
19: [[12, 7], [13, 3, 1], [5, 4, 10, 6, 8, 2], [9, 11]]
20: [[7, 12, 13, 3], [1, 5, 2], [10, 6, 4], [8, 9, 11]]
21: [[7, 12, 13, 3], [1, 5, 2], [10, 6, 4], [8, 9, 11]]
22: [[7, 12], [13, 3, 1, 5], [2, 4], [10, 6, 8, 9, 11]]
23: [[7, 12, 13, 3], [1, 5], [10, 6, 8, 2, 4], [9, 11]]
24: [[7, 12, 13, 3], [1, 5], [10, 6, 8, 2, 4], [9, 11]]
25: [[12, 7], [13, 3, 1, 5, 4, 2], [10, 6, 8, 9], [11]]
26: [[7, 12], [13, 3, 1, 5], [2, 4], [10, 6, 8], [9, 11]]
27: [[7, 12], [13, 3, 1, 5], [2, 4], [10, 6], [8, 9, 11]]
