0: [[9, 1], [3, 10, 2, 14, 4, 5, 12, 13, 6], [11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
1: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 12, 6], [11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
2: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 12, 6], [11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
3: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 12, 6], [11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
4: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 12, 6], [11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
5: [[9, 3, 10, 2, 14, 4, 1, 6], [5, 13, 12], [11, 7], [16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
6: [[9, 3, 10, 2, 14, 4, 1, 6], [5, 13, 12], [11, 7], [16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
7: [[9, 3, 10, 2, 14, 1, 6], [4, 5, 13, 12], [11, 7], [16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
8: [[9, 3, 10, 2, 14, 4, 5, 1, 6], [13, 12], [11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
9: [[9, 1, 6], [3, 10, 2, 14, 4, 5, 13, 12], [11, 7], [16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
10: [[9, 1, 6], [3, 10, 2, 14, 4, 5, 13, 12], [11, 7], [16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
11: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 12, 6], [11, 7, 16], [8, 15, 18, 17, 19, 20], [22, 23, 21, 24]]
12: [[9, 3, 10, 2, 1, 6], [14, 4], [5, 13, 12, 11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
13: [[9, 3, 10, 2, 14, 1, 6], [4, 5], [13, 12, 11, 7, 16, 8, 15, 18], [17, 19, 20, 22], [23, 21, 24]]
14: [[9, 3, 10, 2, 14, 1, 6], [4, 5], [13, 12, 11, 7, 16, 8, 15, 18], [17, 19, 20, 22], [23, 21, 24]]
15: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 6], [12, 11, 7], [16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
16: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 6], [12, 11, 7], [16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
17: [[9, 3, 10, 2, 14, 1, 6], [4, 5], [13, 12, 11, 7, 16, 8], [15, 18, 17, 19, 20, 22], [23, 21, 24]]
18: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 12, 6], [11, 7], [16, 8, 15, 18, 17, 19, 20], [22, 23, 21, 24]]
19: [[9, 1], [6, 3, 10, 2, 14, 4, 5, 13, 12], [11, 7, 16, 8], [15, 18, 17, 19, 20, 22], [23, 21, 24]]
20: [[9, 3, 10, 2, 14, 4, 1, 6], [5, 13], [12, 11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
21: [[9, 3, 10, 2, 14, 4, 1, 6], [5, 13], [12, 11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
22: [[9, 3, 10, 2, 14, 4, 1, 6], [5, 13, 12, 11, 7, 16], [8, 15], [18, 17, 19, 20, 22], [23, 21, 24]]
23: [[9, 3, 10, 2, 14, 4, 1, 6], [5, 13, 12, 11, 7, 16], [8, 15], [18, 17, 19, 20, 22], [23, 21, 24]]
24: [[9, 1], [3, 10], [2, 14, 4, 5, 13, 12, 11, 7, 16, 6], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
25: [[9, 1], [6, 3], [10, 2, 14, 4, 5, 13, 12, 11, 7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
26: [[9, 1, 6, 3], [10, 2, 14, 4, 5, 13, 12, 11], [7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
27: [[9, 1, 6, 3], [10, 2, 14, 4, 5, 13, 12, 11], [7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
28: [[9, 6, 3, 2, 1, 10], [14, 4, 5, 13], [12, 11, 7, 16, 8, 15, 18, 17, 19], [20, 22], [23, 21, 24]]
29: [[9, 6, 3, 2, 14, 1, 10], [4, 5, 13], [12, 11, 7, 16, 8, 15, 18, 17, 19], [20, 22], [23, 21, 24]]
30: [[9, 6, 3, 2, 14, 1, 10], [4, 5, 13], [12, 11, 7, 16, 8, 15, 18, 17, 19], [20, 22], [23, 21, 24]]
31: [[9], [3, 10, 2, 14, 4, 5, 13, 12, 11, 1, 6], [7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
32: [[9], [3, 10, 2, 14, 4, 5, 13, 12, 11, 1, 6], [7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
33: [[9], [3, 10, 2, 14, 4, 5, 13, 12, 11, 1, 6], [7, 16], [8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
34: [[9, 1, 6], [3, 10, 2, 14, 4, 5, 13, 12], [11, 7, 16, 8, 15, 18, 17, 19], [20, 22], [23, 21, 24]]
35: [[9, 1, 6], [3, 10, 2, 14, 4, 5, 13, 12], [11, 7, 16, 8, 15, 18, 17, 19], [20, 22], [23, 21, 24]]
36: [[9, 6, 3, 10, 2, 14, 1, 4], [5, 13], [12, 11, 7, 16, 8, 15, 18, 17, 19], [20, 22], [23, 21, 24]]
37: [[9, 3, 10, 2, 14, 4, 1, 6], [5, 13], [12, 11, 7], [16, 8, 15, 18, 17, 19, 20], [22, 23, 21, 24]]
38: [[9, 3, 10, 2, 14, 1, 6], [4, 5, 13], [12, 11], [7, 16, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
39: [[9, 6, 3, 10, 2, 14, 1, 4], [5, 13], [12, 11, 7, 16, 8, 15, 18, 17], [19, 20, 22], [23, 21, 24]]
40: [[9, 1, 6], [3, 10, 2, 14, 4], [5, 13], [12, 11, 7, 16, 8, 15, 18, 17, 19, 20], [22, 23, 21, 24]]
41: [[9, 1], [3, 10, 2, 14, 4, 5, 13, 12, 11, 7, 6], [16, 8], [15, 18, 17, 19, 20, 22], [23, 21, 24]]
