0: [[19, 18], [1], [3, 4], [5, 6], [9, 2, 24, 17, 7], [15, 10, 12], [11, 8, 14], [26, 27, 21], [23, 16, 20, 25, 22], [28, 13, 29]]
1: [[19, 18], [1], [3, 4], [5, 6], [9, 2, 24, 17, 7], [15, 10, 12], [11, 8, 14], [26, 27, 21], [23, 16, 20, 25, 22], [28, 13, 29]]
2: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 26, 25, 24, 29, 27]]
3: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 25, 26, 28, 29]]
4: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 26, 25, 27, 28, 29]]
5: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 26, 25, 27, 28, 29]]
6: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 25, 24, 26, 29]]
7: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 26, 24, 29, 27, 28]]
8: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 25, 26, 28, 24]]
9: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 26, 27, 25, 29, 28]]
10: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 25, 26, 29, 28]]
11: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 29, 26, 25, 28]]
12: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 27, 29, 26, 28, 24]]
13: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 24, 25, 29, 26]]
14: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 27, 24, 26, 28, 29]]
15: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 24, 26, 29, 25]]
16: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 25, 26, 29, 24]]
17: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 25, 26, 29, 24]]
18: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 26, 25, 27, 29, 28]]
19: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 24, 26, 28, 25]]
20: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 25, 26, 29, 24]]
