0: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
1: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
2: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
3: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
4: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
5: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
6: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
7: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
8: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
9: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
10: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
11: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
12: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
13: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
14: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
15: [[6, 25, 1, 18, 19, 20, 3, 10], [5, 9, 11, 8, 36, 12, 4], [14, 16, 22, 24, 2, 7, 29], [15, 13, 21, 17, 27, 28, 35, 26], [23, 31, 30, 32, 33, 34, 37]]
