0: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [14, 16, 4, 6, 15], [19, 20, 17, 18]]
1: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [14, 16, 6], [19, 18, 17, 20, 4, 15]]
2: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [14, 4, 6], [17, 16, 15], [20, 19, 18]]
3: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [14, 16, 17, 4, 6, 15], [20, 19, 18]]
4: [[5, 1, 2], [8, 3, 11], [7, 10], [13, 12, 9], [14, 4, 6], [20, 17, 19], [18, 16, 15]]
5: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [16, 6, 15], [14, 17, 18, 4], [20, 19]]
6: [[5, 1, 2], [8, 3, 11], [7, 10], [13, 9], [14, 16, 6], [12, 18, 4, 15], [17, 19, 20]]
7: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 14], [16, 6], [20, 17, 19, 18, 4, 15]]
8: [[5, 1, 2], [8, 3], [11, 7, 10], [13, 12, 9], [14, 4, 6], [17, 15, 16, 20, 19, 18]]
9: [[5, 1, 2], [8, 3, 11, 7, 10, 9], [13, 12], [14, 4, 6], [17, 16, 15], [20, 19, 18]]
10: [[5, 1, 2], [8, 3, 11], [7, 10], [13, 12, 9], [14, 4, 6], [17, 18, 16, 19, 15], [20]]
11: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [14, 18, 4], [17, 15], [19, 20], [16, 6]]
12: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [14, 20, 4], [19, 16, 17, 18, 6, 15]]
13: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 18], [14, 16, 20, 19, 17, 4, 6, 15]]
14: [[5, 1, 2], [8, 3, 11], [7, 10], [13, 12, 9], [14, 6], [17], [19, 18], [16, 20, 4, 15]]
15: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 6], [14, 4, 15], [16, 18, 17, 19, 20]]
16: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 16, 14, 15, 18, 17, 4, 6], [19, 20]]
17: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12], [20, 6], [14, 4], [17, 18, 16, 19, 15]]
18: [[5, 1, 2], [8, 3], [11, 7, 10], [13, 9], [12, 14, 16, 6, 15], [17, 18, 20, 19], [4]]
19: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 14], [17, 15, 19, 18, 16, 20, 4, 6]]
20: [[5, 1, 2], [8, 3], [11, 7, 10], [13, 12, 9], [20, 14, 4, 6], [16, 18, 17, 19, 15]]
21: [[5, 1, 2], [8, 3, 11], [7, 10], [13, 12, 9, 4], [20, 16, 15, 18, 14, 19, 17, 6]]
22: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 20], [14, 4, 6], [17, 16, 15], [18, 19]]
23: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 6], [20, 14, 4], [18, 17, 19, 16, 15]]
24: [[5, 1, 2], [8, 3], [11, 7, 10, 13, 12, 14, 16, 9, 6], [17, 19, 18, 20, 15, 4]]
25: [[5, 1, 2], [8, 3], [11, 7, 10, 9], [13, 12, 6], [14, 4], [16, 17, 15], [18, 19, 20]]
26: [[5, 1, 2], [8, 3], [11, 7, 10], [13, 12, 9], [15, 14, 16, 18, 17, 19, 20, 4, 6]]
27: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 6], [14, 4], [16, 18, 17, 15], [19, 20]]
28: [[5, 1, 2], [8, 3, 11], [7, 10, 13, 12, 15, 14, 9, 4, 6], [18, 16, 17, 19, 20]]
29: [[5, 1, 2], [8, 3, 11], [7, 10], [13, 12, 18, 9, 4, 6], [14, 15, 17, 16, 19, 20]]
30: [[5, 1, 2], [8, 3, 11], [7, 10, 13, 12, 14, 9], [16, 15, 17, 20, 19, 18, 4, 6]]
31: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 20, 4], [14, 12, 6], [16, 17, 15], [19, 18]]
32: [[5, 1, 2, 8, 3, 11, 7, 10], [9, 13, 12, 6, 18, 4, 14, 15, 16], [17, 19, 20]]
33: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 14], [20, 19, 4, 6], [17, 16, 18, 15]]
34: [[5, 1, 2], [8, 3, 11, 7], [10, 13, 9], [14, 6], [20, 4], [12, 17, 16, 19, 18, 15]]
35: [[5, 1, 2], [8, 3, 11], [7, 10, 13], [12, 14, 9, 15], [16, 4, 6], [18, 17, 19], [20]]
36: [[5, 1, 2], [8, 3, 11], [7, 10, 9], [13, 12, 14], [16, 20, 6, 15], [19, 18, 4], [17]]
37: [[5, 1, 2], [8, 3, 11, 7], [10, 13, 9], [12, 6], [14, 20, 4], [16, 18, 19, 17, 15]]
38: [[5, 1], [2, 8, 3], [11, 7, 10], [13, 12, 9], [14, 16, 19, 20, 4, 6, 15], [17, 18]]
39: [[5, 1], [2, 8], [3, 11, 7, 6], [10, 13, 9], [12, 14, 4, 15], [16], [19, 17], [20, 18]]
40: [[5, 1, 2], [8, 3], [11, 7, 10, 13, 12, 14, 20, 9, 4], [15, 18, 6], [19, 16, 17]]
41: [[5, 1], [2, 8, 3, 11], [7, 10, 9, 13, 12, 6, 4, 15, 14, 16, 19, 20, 17, 18]]
