0: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
1: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
2: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
3: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
4: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
5: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
6: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
7: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
8: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
9: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
10: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
11: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
12: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
13: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
14: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
15: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
16: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
17: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
18: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
19: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
20: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
21: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
22: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
23: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
24: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
25: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
26: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
27: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
28: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
29: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
30: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
31: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
32: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
33: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
34: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
35: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
36: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
37: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
38: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
39: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
40: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
41: [[10, 8, 14, 6], [5, 11, 9], [12, 13], [20, 17, 4], [2], [7], [3, 1], [18, 16, 19, 15]]
