0: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
1: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 16, 19, 12, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
2: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 16, 19, 12, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
3: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 16, 19, 12, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
4: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 16, 19, 12, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
5: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 19, 16, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
6: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
7: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
8: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
9: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
10: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
11: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
12: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
13: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
14: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
15: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
16: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
17: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
18: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
19: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
20: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
21: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
22: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
23: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
24: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
25: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
26: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
27: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
28: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
29: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
