0: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
1: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
2: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
3: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
4: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
5: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
6: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
7: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
8: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
9: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
10: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
11: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
12: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
13: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
14: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
15: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
16: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
17: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
18: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
19: [[2, 8, 13], [16, 14, 6], [11, 12], [1, 3, 9, 5, 7, 10], [17, 19, 18, 20, 15], [4]]
20: [[2, 8, 13], [16, 14, 6], [11, 12], [1, 3, 5, 7, 10, 9], [17, 19, 18, 20, 15], [4]]
21: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
22: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
23: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
24: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
25: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
26: [[2, 8, 13], [16, 14, 11, 12, 6], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
27: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
28: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
29: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
30: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
31: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
32: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
33: [[2, 8, 13], [16, 14, 6], [11, 12, 1, 3, 5], [7, 10, 9], [17, 19, 18, 20, 15], [4]]
34: [[2, 8, 13], [16, 14, 6, 11, 12], [1, 3, 5], [7, 10, 9], [17, 19, 18, 20, 15], [4]]
35: [[2, 8, 13, 16, 14], [6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
36: [[2, 8, 13, 16, 14], [6, 11, 12], [1, 3, 9], [5, 7, 10], [17, 19, 18, 20, 15], [4]]
37: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 5, 7, 9], [10, 17, 19], [18, 20, 15], [4]]
38: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 5, 7, 9], [10, 17, 19], [18, 20, 15], [4]]
39: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 5, 7, 9], [10, 17, 19], [18, 20, 15], [4]]
40: [[2, 8, 13, 16, 14, 6], [11, 12], [1, 3, 5, 7, 9], [10, 17, 19], [18, 20, 15], [4]]
41: [[2, 8, 13, 16, 14], [6, 11, 12, 1, 3], [9, 5, 7], [10, 17, 19], [18, 20, 15], [4]]
