0: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
1: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
2: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
3: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
4: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
5: [[3, 1, 16, 9], [2, 4, 14, 10], [5, 6, 11, 7, 12], [13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
6: [[3, 1, 16, 9], [2, 4, 14, 10], [5, 6, 11, 7, 12], [13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
7: [[3, 1, 16, 9], [2, 4, 14, 10, 5], [6, 11, 7, 12, 13], [8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
8: [[9, 2, 3, 1, 16], [4, 14, 10, 5], [6, 11, 7, 12, 13], [8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
9: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7, 12], [13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
10: [[3, 1, 16, 9], [2, 4, 14, 10, 5], [6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
11: [[9], [2, 4, 14, 10, 5, 6, 3], [11, 7, 12, 16], [13, 8, 15, 18], [17, 19, 20, 22, 1], [21, 23, 24]]
12: [[3, 1, 16, 9, 2], [4, 14, 10], [5, 6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
13: [[9, 2, 3, 1, 16], [4, 14, 10, 5], [6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
14: [[9, 2, 3, 1, 16], [4, 14, 10, 5], [6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
15: [[9, 2, 3, 1, 16], [4, 14, 10, 5], [6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
16: [[3, 1, 16, 9, 2, 4], [14, 10], [5, 6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
17: [[3, 1, 16, 9], [2, 4, 14, 10, 5], [6, 11, 7, 12], [13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
