0: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
1: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
2: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
3: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
4: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
5: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
6: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
7: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
8: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
9: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
10: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
11: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
12: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
13: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
14: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
15: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
