0: [[5, 4], [16, 14, 6, 15], [8, 10, 2], [1, 3], [7], [12, 11, 13, 9], [17, 18, 20, 19]]
1: [[5, 4], [14, 6], [16, 15], [8, 10], [2, 1, 3, 7], [12, 11], [13, 9], [17, 18, 20, 19]]
2: [[5, 16], [14, 6, 15], [8, 10, 2], [1, 3], [7, 12, 11, 13, 9], [17, 18, 20, 19, 4]]
3: [[5, 4], [16, 14], [6, 15], [8, 10], [2, 7, 1], [12, 11, 9, 13, 3], [17, 18, 20, 19]]
4: [[5, 4], [16, 14, 6, 15], [8, 10], [2, 1, 3], [7, 12, 11, 9], [13], [17, 18], [20, 19]]
5: [[5, 4], [16, 14, 6, 15], [8], [10, 2], [1, 3, 7], [12, 11, 13], [17, 9], [18, 20, 19]]
6: [[5, 4], [16, 14, 6, 15], [8], [10, 2], [1, 3, 7], [12, 11, 13], [17, 9], [18, 20, 19]]
7: [[5, 16, 14, 15, 4, 6], [8, 10, 2], [1, 3], [7, 12, 11], [13, 17, 18, 20, 19, 9]]
8: [[5, 16, 4], [14], [8, 10], [2, 1], [3, 7, 6], [12, 11, 13], [17, 18, 20, 19, 9, 15]]
9: [[5, 4], [16, 14, 6, 15], [8, 10, 2], [1, 3, 7, 12, 11], [13, 17, 18, 9], [20, 19]]
10: [[5, 4], [16, 14, 15, 6], [8, 10, 2, 1], [3, 7, 12, 11, 13, 17, 20, 19, 18, 9]]
11: [[5], [16, 14, 7, 6], [8, 10], [2, 1], [3, 15], [12, 11, 9], [13, 4], [17, 18], [20, 19]]
12: [[5], [16, 14, 6], [8, 15], [10, 2, 1, 3, 7], [12, 11, 13, 9, 4], [17, 18, 20, 19]]
13: [[5, 4], [14, 6], [8, 10], [2, 1, 3], [7, 12], [11, 13, 9], [16, 17, 18, 15], [20, 19]]
14: [[5], [16, 14, 6, 15], [8, 10, 2, 1, 3], [7, 12], [11, 13, 9, 4], [17, 18, 20], [19]]
15: [[5], [16, 14, 6, 15], [8, 10, 2, 1], [3, 7, 12], [11, 13, 9], [17, 18], [20, 19], [4]]
16: [[5, 4], [16, 14, 6], [15], [8, 10, 2, 1], [3, 7, 12, 11, 13, 9, 17, 18, 20, 19]]
17: [[5], [16, 14, 6, 15], [8, 10, 2], [1, 3, 7, 20, 12, 11, 13, 17, 18, 19, 9, 4]]
18: [[5], [16], [14, 7, 6], [8, 10], [2], [1, 3, 15], [12, 11], [13, 9], [17, 18, 4], [20, 19]]
19: [[5, 4], [16, 14, 6], [8, 10, 15], [2, 1, 3], [7, 12], [11, 13, 9], [17, 18], [20, 19]]
20: [[5, 4], [16, 14, 6, 15], [8], [10, 2, 1, 3], [7, 12, 11], [13, 17, 9], [18], [20, 19]]
21: [[5], [14], [8, 10], [2, 3, 16, 4, 6], [1, 7, 15], [12, 11], [13, 17, 9], [18, 20, 19]]
22: [[5, 4], [16, 14, 6], [15], [8, 10, 2], [1, 3, 7, 12], [11, 13, 9, 17, 18], [20, 19]]
23: [[5, 4], [16, 14, 8, 10, 6], [1, 3, 7], [2], [12, 11, 13, 17, 18], [20, 19, 15], [9]]
24: [[5], [16, 14, 6], [8, 15], [10], [2, 1], [3, 7], [12, 11, 13, 9], [17, 18, 20, 4], [19]]
25: [[5, 16, 4], [14, 6], [15], [8, 10, 2, 1], [3, 7, 12, 11], [13, 9, 17, 18, 20, 19]]
26: [[5], [16, 14, 6], [8, 10, 15], [2], [1, 3], [7, 12, 11, 13], [17, 18, 20, 19, 9, 4]]
27: [[5], [16], [14, 4, 6], [8, 15], [10, 2, 1, 3], [7, 12, 11, 13], [17, 18, 20, 19], [9]]
28: [[5, 16], [14, 6], [8, 15], [10, 2, 1, 4], [3, 7, 9], [12, 11, 13], [17], [18, 20, 19]]
29: [[5, 4], [16, 14, 6, 8, 15], [10, 2, 1, 3, 7, 12], [11, 13, 17, 18, 20, 19, 9]]
30: [[5, 16], [14], [8, 10, 15], [2, 1], [3, 7, 6], [12, 11], [13, 17, 9], [18, 4], [20, 19]]
31: [[5], [16, 14], [8, 15], [10, 4, 6], [2, 7, 1], [12, 11, 13], [17, 18], [20, 19], [3, 9]]
32: [[5], [16, 6], [14, 8, 15], [10], [2, 1], [3, 7, 12, 9], [11, 13, 4, 17, 18, 20, 19]]
33: [[5, 16, 4], [14, 6], [8], [20, 10], [15], [2, 1, 3, 7], [12, 11, 13], [9, 17, 18, 19]]
34: [[5, 6, 4], [14, 8], [10, 2], [1, 3, 7, 12, 11], [13, 16, 17, 18, 20, 19, 9, 15]]
35: [[5, 4, 16, 14], [15, 6, 8, 10, 2, 1, 3, 7, 12, 11, 13, 9, 17, 18], [20, 19]]
36: [[5, 20, 4], [16, 14, 6], [10, 1, 3], [7], [2, 12, 11], [13, 17, 9, 15], [18, 8, 19]]
37: [[5], [16, 14, 8, 6], [10, 2, 3], [1, 7, 12, 11, 9, 15], [13, 4], [17, 18, 20], [19]]
38: [[5], [16, 14], [15, 4], [8, 2], [10, 1, 3, 6], [7, 12, 11, 13, 17, 18, 20, 19, 9]]
39: [[5, 20, 4], [16, 14, 6], [8, 10, 15], [2], [1, 12, 11], [13], [3, 9], [17, 18, 7], [19]]
40: [[5, 4], [16], [14, 8, 10, 6, 15, 2, 1, 3, 7, 12, 11, 13, 9, 17, 18, 20, 19]]
41: [[5], [4, 16, 14, 8, 10, 2, 3, 6, 1, 15, 7, 12, 11, 13, 9, 17, 18, 20], [19]]
